# x-coordinate y-coordinate Lambda-value
2.731167585833029765e-01 5.978064695141330903e-02 -2.546186992180554586e-05
2.456048827298219217e-01 5.922700137470376935e-02 5.181043788144173599e-04
2.190969881821325238e-01 5.826262638225426782e-02 1.023925301493133593e-03
1.936976894897093071e-01 5.690855976426924950e-02 1.473711446834748183e-03
1.695072260806553821e-01 5.516523032137168880e-02 1.988488646192244740e-03
1.466210666624749026e-01 5.300823276369179271e-02 2.575259993498349442e-03
1.251295324506997431e-01 5.046256866424688597e-02 3.003545823600731277e-03
1.051174407123158239e-01 4.757537329109592927e-02 3.397613360292078572e-03
8.666377003075939611e-02 4.431064567477758370e-02 4.037545822493443168e-03
6.984134861353033519e-02 4.068920705710900310e-02 4.393014927150042277e-03
5.471656687252920981e-02 3.679374620702165199e-02 4.692143535796438648e-03
4.134911541143224123e-02 3.260368710110383289e-02 5.195267936747307268e-03
2.979174945414872488e-02 2.811769176226916467e-02 5.584623373780997838e-03
2.009008064405382044e-02 2.341720005225457479e-02 5.798260333792115001e-03
1.228239703567005070e-02 1.852405483694236077e-02 6.153949066458728849e-03
6.399511989208350737e-03 1.335045649144379724e-02 6.843379641714253912e-03
2.464642564312641282e-03 7.948600064372911625e-03 7.137407713020810056e-03
4.933178929321102579e-04 2.609737612681708313e-03 6.824830698029593808e-03
4.933178929321102579e-04 -2.609737612681709180e-03 6.824830698029597277e-03
2.464642564312641282e-03 -7.948600064372913360e-03 7.137407713020809188e-03
6.399511989208378493e-03 -1.335045649144382500e-02 6.843379641714337179e-03
1.228239703567007846e-02 -1.852405483694238852e-02 6.153949066458654256e-03
2.009008064405384819e-02 -2.341720005225458520e-02 5.798260333792153165e-03
2.979174945414880815e-02 -2.811769176226919936e-02 5.584623373781022991e-03
4.134911541143232450e-02 -3.260368710110386065e-02 5.195267936747264767e-03
5.471656687252926532e-02 -3.679374620702166587e-02 4.692143535796469006e-03
6.984134861353039070e-02 -4.068920705710901697e-02 4.393014927150079574e-03
8.666377003075945162e-02 -4.431064567477759064e-02 4.037545822493450974e-03
1.051174407123159349e-01 -4.757537329109594315e-02 3.397613360292116736e-03
1.251295324506998541e-01 -5.046256866424690679e-02 3.003545823600751227e-03
1.466210666624749581e-01 -5.300823276369180659e-02 2.575259993498376764e-03
1.695072260806554654e-01 -5.516523032137169574e-02 1.988488646192260786e-03
1.936976894897093071e-01 -5.690855976426924950e-02 1.473711446834742329e-03
2.190969881821326071e-01 -5.826262638225426782e-02 1.023925301493181081e-03
2.456048827298221160e-01 -5.922700137470377629e-02 5.181043788143952422e-04
2.731167585833031430e-01 -5.978064695141330903e-02 -2.546186992178258788e-05
3.015240389375625218e-01 -5.994503268672343732e-02 -4.347680186440085735e-04
3.307146132350936574e-01 -5.975602729804867230e-02 -8.242956234846913468e-04
3.605732796150494801e-01 -5.919965074043305464e-02 -1.317639610496954645e-03
3.909821995623552482e-01 -5.829670408155237377e-02 -1.639931928900374225e-03
4.218213629624929517e-01 -5.709873360650195157e-02 -1.932064285211725378e-03
4.529690617265957897e-01 -5.561389314874498613e-02 -2.256565120876907315e-03
4.843023701176716322e-01 -5.386171285100374573e-02 -2.506005661170084345e-03
5.156976298823283678e-01 -5.188462088652298632e-02 -2.689598530963063089e-03
5.470309382734044323e-01 -4.971066406438795493e-02 -2.865011249744222905e-03
5.781786370375072703e-01 -4.735686714625283317e-02 -3.026548682977955873e-03
6.090178004376449739e-01 -4.485666554463474398e-02 -3.110746745918238805e-03
6.394267203849505199e-01 -4.224669170138139335e-02 -3.167144106636483273e-03
6.692853867649064536e-01 -3.954082272338575732e-02 -3.244908240812013900e-03
6.984759610624378112e-01 -3.676493701076943843e-02 -3.245270342499588772e-03
7.268832414166970235e-01 -3.395507678948091190e-02 -3.222633098532051796e-03
7.543951172701781616e-01 -3.112841932436390818e-02 -3.201379346314254040e-03
7.809030118178676982e-01 -2.830556706533934874e-02 -3.143202141557810067e-03
8.063023105102908872e-01 -2.551514949611164568e-02 -3.052607980348156537e-03
8.304927739193446179e-01 -2.277946769896412038e-02 -2.950126048721377590e-03
8.533789333375251251e-01 -2.011618637664450149e-02 -2.833963390213642321e-03
8.748704675493003124e-01 -1.754930876176469257e-02 -2.680951300341991288e-03
8.948825592876843427e-01 -1.510400088043685474e-02 -2.509071054343596334e-03
9.133362299692407982e-01 -1.279657167829093695e-02 -2.334603385257906071e-03
9.301586513864696926e-01 -1.064766277414983670e-02 -2.125208026284196999e-03
9.452834331274707624e-01 -8.681074006623233641e-03 -1.901155990360755286e-03
9.586508845885677310e-01 -6.913322623539122636e-03 -1.668767092354181848e-03
9.702082505458512474e-01 -5.361137416909328435e-03 -1.419937631928652223e-03
9.799099193559461796e-01 -4.041800340588264095e-03 -1.159417983815201874e-03
9.877176029643299771e-01 -2.969015936119909216e-03 -8.895368270603380917e-04
9.936004880107917048e-01 -2.153688400261213887e-03 -5.815186450123775459e-04
9.975353574356873310e-01 -1.604973452894981056e-03 2.604826420738531824e-05
9.995066821070679453e-01 -6.991481777739172454e-04 -1.953099906973567237e-03
