x,Curve1
-0.35575,-0.08674
-0.05339,-0.08597
0.09906,-0.08493
0.25151,-0.08389
0.40422,-0.08548
0.57235,-0.08053
0.86158,-0.08236
1.14494,-0.07893
1.40766,-0.08334
1.57082,-0.08232
