#      x          Cp  
     1.00000    0.21846
     0.99180    0.18550
     0.98067    0.14342
     0.96782    0.10388
     0.95357    0.06760
     0.93838    0.03506
     0.92265    0.00600
     0.90663   -0.02010
     0.89046   -0.04377
     0.87420   -0.06547
     0.85789   -0.08555
     0.84156   -0.10432
     0.82520   -0.12199
     0.80884   -0.13875
     0.79245   -0.15474
     0.77606   -0.17007
     0.75966   -0.18484
     0.74326   -0.19914
     0.72684   -0.21301
     0.71043   -0.22653
     0.69401   -0.23974
     0.67758   -0.25267
     0.66116   -0.26536
     0.64474   -0.27781
     0.62832   -0.29004
     0.61191   -0.30203
     0.59550   -0.31376
     0.57909   -0.32514
     0.56270   -0.33602
     0.54631   -0.34614
     0.52994   -0.35515
     0.51358   -0.36326
     0.49724   -0.37443
     0.48092   -0.41502
     0.46462   -0.42820
     0.44834   -0.43705
     0.43211   -0.44859
     0.41592   -0.46159
     0.39982   -0.47659
     0.38384   -0.49168
     0.36794   -0.50436
     0.35210   -0.51588
     0.33632   -0.52627
     0.32059   -0.53561
     0.30492   -0.54393
     0.28931   -0.55121
     0.27377   -0.55741
     0.25831   -0.56247
     0.24293   -0.56632
     0.22765   -0.56885
     0.21248   -0.56997
     0.19745   -0.56953
     0.18256   -0.56737
     0.16785   -0.56333
     0.15336   -0.55717
     0.13914   -0.54866
     0.12525   -0.53750
     0.11179   -0.52337
     0.09889   -0.50597
     0.08668   -0.48500
     0.07533   -0.46025
     0.06499   -0.43164
     0.05575   -0.39919
     0.04761   -0.36296
     0.04054   -0.32296
     0.03441   -0.27904
     0.02911   -0.23092
     0.02453   -0.17806
     0.02055   -0.11983
     0.01707   -0.05540
     0.01404    0.01617
     0.01138    0.09588
     0.00906    0.18468
     0.00704    0.28319
     0.00530    0.39145
     0.00381    0.50808
     0.00258    0.62975
     0.00159    0.74980
     0.00084    0.85837
     0.00034    0.94286
     0.00006    0.99144
     0.00001    0.99681
     0.00016    0.95556
     0.00056    0.86519
     0.00122    0.73443
     0.00215    0.58014
     0.00334    0.42166
     0.00480    0.27327
     0.00653    0.14306
     0.00853    0.03334
     0.01081   -0.05664
     0.01339   -0.12917
     0.01631   -0.18688
     0.01960   -0.23224
     0.02333   -0.26737
     0.02757   -0.29401
     0.03242   -0.31352
     0.03798   -0.32691
     0.04440   -0.33500
     0.05181   -0.33840
     0.06036   -0.33764
     0.07013   -0.33323
     0.08113   -0.32575
     0.09329   -0.31586
     0.10643   -0.30423
     0.12037   -0.29149
     0.13492   -0.27812
     0.14993   -0.26449
     0.16529   -0.25086
     0.18092   -0.23741
     0.19677   -0.22425
     0.21279   -0.21147
     0.22896   -0.19915
     0.24525   -0.18737
     0.26165   -0.17624
     0.27814   -0.16600
     0.29471   -0.15739
     0.31136   -0.15291
     0.32807   -0.12190
     0.34483   -0.11301
     0.36165   -0.10822
     0.37849   -0.10389
     0.39533   -0.10064
     0.41212   -0.09876
     0.42888   -0.09395
     0.44564   -0.08835
     0.46241   -0.08227
     0.47921   -0.07593
     0.49603   -0.06946
     0.51287   -0.06293
     0.52974   -0.05638
     0.54662   -0.04985
     0.56353   -0.04336
     0.58045   -0.03692
     0.59738   -0.03054
     0.61433   -0.02422
     0.63130   -0.01796
     0.64827   -0.01175
     0.66525   -0.00558
     0.68225    0.00056
     0.69925    0.00668
     0.71625    0.01282
     0.73326    0.01899
     0.75027    0.02523
     0.76729    0.03158
     0.78430    0.03807
     0.80132    0.04478
     0.81833    0.05177
     0.83534    0.05912
     0.85233    0.06695
     0.86931    0.07540
     0.88624    0.08466
     0.90311    0.09498
     0.91982    0.10668
     0.93623    0.12018
     0.95207    0.13598
     0.96689    0.15462
     0.98019    0.17616
     0.99163    0.20211
     1.00000    0.21846
