#      x          Cp  
     1.00000    0.21295
     0.99180    0.18511
     0.98067    0.14842
     0.96782    0.11232
     0.95357    0.07824
     0.93838    0.04724
     0.92265    0.01949
     0.90663   -0.00526
     0.89046   -0.02738
     0.87420   -0.04721
     0.85789   -0.06503
     0.84156   -0.08105
     0.82520   -0.09550
     0.80884   -0.10891
     0.79245   -0.12289
     0.77606   -0.14172
     0.75966   -0.17351
     0.74326   -0.22226
     0.72684   -0.26268
     0.71043   -0.26895
     0.69401   -0.27592
     0.67758   -0.28326
     0.66116   -0.29097
     0.64474   -0.29906
     0.62832   -0.30758
     0.61191   -0.31657
     0.59550   -0.32603
     0.57909   -0.33596
     0.56270   -0.34635
     0.54631   -0.35715
     0.52994   -0.36834
     0.51358   -0.37987
     0.49724   -0.39172
     0.48092   -0.40388
     0.46462   -0.41635
     0.44834   -0.42916
     0.43211   -0.44235
     0.41592   -0.45599
     0.39982   -0.47042
     0.38384   -0.48463
     0.36794   -0.49726
     0.35210   -0.50879
     0.33632   -0.51924
     0.32059   -0.52863
     0.30492   -0.53698
     0.28931   -0.54425
     0.27377   -0.55042
     0.25831   -0.55542
     0.24293   -0.55918
     0.22765   -0.56161
     0.21248   -0.56258
     0.19745   -0.56198
     0.18256   -0.55964
     0.16785   -0.55537
     0.15336   -0.54896
     0.13914   -0.54015
     0.12525   -0.52864
     0.11179   -0.51412
     0.09889   -0.49626
     0.08668   -0.47477
     0.07533   -0.44943
     0.06499   -0.42016
     0.05575   -0.38699
     0.04761   -0.34999
     0.04054   -0.30918
     0.03441   -0.26443
     0.02911   -0.21545
     0.02453   -0.16176
     0.02055   -0.10271
     0.01707   -0.03751
     0.01404    0.03474
     0.01138    0.11499
     0.00906    0.20411
     0.00704    0.30265
     0.00530    0.41051
     0.00381    0.52619
     0.00258    0.64622
     0.00159    0.76378
     0.00084    0.86911
     0.00034    0.94962
     0.00006    0.99391
     0.00001    0.99500
     0.00016    0.94965
     0.00056    0.85551
     0.00122    0.72187
     0.00215    0.56546
     0.00334    0.40574
     0.00480    0.25666
     0.00653    0.12619
     0.00853    0.01648
     0.01081   -0.07333
     0.01339   -0.14557
     0.01631   -0.20292
     0.01960   -0.24787
     0.02333   -0.28256
     0.02757   -0.30874
     0.03242   -0.32776
     0.03798   -0.34065
     0.04440   -0.34824
     0.05181   -0.35112
     0.06036   -0.34985
     0.07013   -0.34494
     0.08113   -0.33700
     0.09329   -0.32668
     0.10643   -0.31467
     0.12037   -0.30159
     0.13492   -0.28793
     0.14993   -0.27407
     0.16529   -0.26024
     0.18092   -0.24661
     0.19677   -0.23330
     0.21279   -0.22037
     0.22896   -0.20787
     0.24525   -0.19584
     0.26165   -0.18430
     0.27814   -0.17329
     0.29471   -0.16281
     0.31136   -0.15290
     0.32807   -0.14359
     0.34483   -0.13491
     0.36165   -0.12694
     0.37849   -0.11976
     0.39533   -0.11365
     0.41212   -0.10849
     0.42888   -0.10284
     0.44564   -0.09691
     0.46241   -0.09079
     0.47921   -0.08454
     0.49603   -0.07822
     0.51287   -0.07188
     0.52974   -0.06555
     0.54662   -0.05926
     0.56353   -0.05303
     0.58045   -0.04688
     0.59738   -0.04082
     0.61433   -0.03486
     0.63130   -0.02901
     0.64827   -0.02328
     0.66525   -0.01766
     0.68225   -0.01216
     0.69925   -0.00679
     0.71625   -0.00156
     0.73326    0.00354
     0.75027    0.00848
     0.76729    0.01325
     0.78430    0.01782
     0.80132    0.02216
     0.81833    0.02616
     0.83534    0.02966
     0.85233    0.03216
     0.86931    0.05111
     0.88624    0.07434
     0.90311    0.09546
     0.91982    0.11247
     0.93623    0.12706
     0.95207    0.14168
     0.96689    0.15807
     0.98019    0.17681
     0.99163    0.19914
     1.00000    0.21295
