#      x          Cp  
     1.00000   -0.10761
     0.99180   -0.11616
     0.98067   -0.11633
     0.96782   -0.11650
     0.95357   -0.11668
     0.93838   -0.11687
     0.92265   -0.11707
     0.90663   -0.11728
     0.89046   -0.11752
     0.87420   -0.11779
     0.85789   -0.11810
     0.84156   -0.11845
     0.82520   -0.11887
     0.80884   -0.11937
     0.79245   -0.11996
     0.77606   -0.12065
     0.75966   -0.12148
     0.74326   -0.12246
     0.72684   -0.12363
     0.71043   -0.12503
     0.69401   -0.12668
     0.67758   -0.12865
     0.66116   -0.13098
     0.64474   -0.13375
     0.62832   -0.13703
     0.61191   -0.14092
     0.59550   -0.14551
     0.57909   -0.15092
     0.56270   -0.15724
     0.54631   -0.16457
     0.52994   -0.17295
     0.51358   -0.18229
     0.49724   -0.19262
     0.48092   -0.20406
     0.46462   -0.21661
     0.44834   -0.23012
     0.43211   -0.24439
     0.41592   -0.25919
     0.39982   -0.27432
     0.38384   -0.28923
     0.36794   -0.30328
     0.35210   -0.31634
     0.33632   -0.32822
     0.32059   -0.33881
     0.30492   -0.34804
     0.28931   -0.35583
     0.27377   -0.36211
     0.25831   -0.36681
     0.24293   -0.36983
     0.22765   -0.37107
     0.21248   -0.37039
     0.19745   -0.36764
     0.18256   -0.36263
     0.16785   -0.35513
     0.15336   -0.34485
     0.13914   -0.33149
     0.12525   -0.31467
     0.11179   -0.29399
     0.09889   -0.26907
     0.08668   -0.23957
     0.07533   -0.20531
     0.06499   -0.16633
     0.05575   -0.12284
     0.04761   -0.07515
     0.04054   -0.02354
     0.03441    0.03183
     0.02911    0.09099
     0.02453    0.15412
     0.02055    0.22150
     0.01707    0.29345
     0.01404    0.37025
     0.01138    0.45199
     0.00906    0.53840
     0.00704    0.62851
     0.00530    0.72041
     0.00381    0.80999
     0.00258    0.89193
     0.00159    0.95670
     0.00084    0.99477
     0.00034    0.99463
     0.00006    0.95011
     0.00001    0.85985
     0.00016    0.72303
     0.00056    0.54222
     0.00122    0.33697
     0.00215    0.12900
     0.00334   -0.06156
     0.00480   -0.22350
     0.00653   -0.35356
     0.00853   -0.45372
     0.01081   -0.52826
     0.01339   -0.58189
     0.01631   -0.61887
     0.01960   -0.64269
     0.02333   -0.65610
     0.02757   -0.66119
     0.03242   -0.65954
     0.03798   -0.65231
     0.04440   -0.64040
     0.05181   -0.62456
     0.06036   -0.60547
     0.07013   -0.58386
     0.08113   -0.56053
     0.09329   -0.53632
     0.10643   -0.51200
     0.12037   -0.48815
     0.13492   -0.46517
     0.14993   -0.44326
     0.16529   -0.42249
     0.18092   -0.40289
     0.19677   -0.38441
     0.21279   -0.36701
     0.22896   -0.35063
     0.24525   -0.33523
     0.26165   -0.32074
     0.27814   -0.30713
     0.29471   -0.29435
     0.31136   -0.28238
     0.32807   -0.27119
     0.34483   -0.26077
     0.36165   -0.25112
     0.37849   -0.24224
     0.39533   -0.23420
     0.41212   -0.22692
     0.42888   -0.21984
     0.44564   -0.21295
     0.46241   -0.20624
     0.47921   -0.19968
     0.49603   -0.19327
     0.51287   -0.18703
     0.52974   -0.18095
     0.54662   -0.17503
     0.56353   -0.16929
     0.58045   -0.16373
     0.59738   -0.15834
     0.61433   -0.15314
     0.63130   -0.14813
     0.64827   -0.14330
     0.66525   -0.13866
     0.68225   -0.13422
     0.69925   -0.12997
     0.71625   -0.12591
     0.73326   -0.12206
     0.75027   -0.11840
     0.76729   -0.11496
     0.78430   -0.11173
     0.80132   -0.10873
     0.81833   -0.10596
     0.83534   -0.10344
     0.85233   -0.10120
     0.86931   -0.09925
     0.88624   -0.09764
     0.90311   -0.09642
     0.91982   -0.09567
     0.93623   -0.09547
     0.95207   -0.09594
     0.96689   -0.09718
     0.98019   -0.09931
     0.99163   -0.10203
     1.00000   -0.10761
