#      x          Cp  
     1.00000    0.22501
     0.99180    0.18962
     0.98067    0.14537
     0.96782    0.10481
     0.95357    0.06807
     0.93838    0.03533
     0.92265    0.00616
     0.90663   -0.02001
     0.89046   -0.04374
     0.87420   -0.06549
     0.85789   -0.08564
     0.84156   -0.10447
     0.82520   -0.12222
     0.80884   -0.13906
     0.79245   -0.15513
     0.77606   -0.17056
     0.75966   -0.18544
     0.74326   -0.19985
     0.72684   -0.21386
     0.71043   -0.22753
     0.69401   -0.24092
     0.67758   -0.25405
     0.66116   -0.26698
     0.64474   -0.27974
     0.62832   -0.29236
     0.61191   -0.30487
     0.59550   -0.31729
     0.57909   -0.32964
     0.56270   -0.34196
     0.54631   -0.35426
     0.52994   -0.36656
     0.51358   -0.37890
     0.49724   -0.39130
     0.48092   -0.40381
     0.46462   -0.41648
     0.44834   -0.42940
     0.43211   -0.44276
     0.41592   -0.45669
     0.39982   -0.47339
     0.38384   -0.48992
     0.36794   -0.50262
     0.35210   -0.51408
     0.33632   -0.52429
     0.32059   -0.53336
     0.30492   -0.54127
     0.28931   -0.54772
     0.27377   -0.55171
     0.25831   -0.55383
     0.24293   -0.55939
     0.22765   -0.56786
     0.21248   -0.56789
     0.19745   -0.56739
     0.18256   -0.56535
     0.16785   -0.56143
     0.15336   -0.55539
     0.13914   -0.54699
     0.12525   -0.53593
     0.11179   -0.52190
     0.09889   -0.50459
     0.08668   -0.48370
     0.07533   -0.45904
     0.06499   -0.43052
     0.05575   -0.39816
     0.04761   -0.36202
     0.04054   -0.32212
     0.03441   -0.27830
     0.02911   -0.23028
     0.02453   -0.17754
     0.02055   -0.11943
     0.01707   -0.05512
     0.01404    0.01634
     0.01138    0.09594
     0.00906    0.18463
     0.00704    0.28306
     0.00530    0.39125
     0.00381    0.50788
     0.00258    0.62954
     0.00159    0.74966
     0.00084    0.85829
     0.00034    0.94287
     0.00006    0.99146
     0.00001    0.99678
     0.00016    0.95539
     0.00056    0.86482
     0.00122    0.73378
     0.00215    0.57929
     0.00334    0.42062
     0.00480    0.27221
     0.00653    0.14204
     0.00853    0.03244
     0.01081   -0.05737
     0.01339   -0.12970
     0.01631   -0.18719
     0.01960   -0.23233
     0.02333   -0.26725
     0.02757   -0.29368
     0.03242   -0.31299
     0.03798   -0.32618
     0.04440   -0.33409
     0.05181   -0.33730
     0.06036   -0.33636
     0.07013   -0.33176
     0.08113   -0.32410
     0.09329   -0.31405
     0.10643   -0.30252
     0.12037   -0.29008
     0.13492   -0.26968
     0.14993   -0.25878
     0.16529   -0.24746
     0.18092   -0.23478
     0.19677   -0.22191
     0.21279   -0.20929
     0.22896   -0.19701
     0.24525   -0.18513
     0.26165   -0.17369
     0.27814   -0.16273
     0.29471   -0.15227
     0.31136   -0.14237
     0.32807   -0.13307
     0.34483   -0.12444
     0.36165   -0.11661
     0.37849   -0.10972
     0.39533   -0.10480
     0.41212   -0.10185
     0.42888   -0.09635
     0.44564   -0.09027
     0.46241   -0.08385
     0.47921   -0.07726
     0.49603   -0.07058
     0.51287   -0.06388
     0.52974   -0.05719
     0.54662   -0.05054
     0.56353   -0.04394
     0.58045   -0.03740
     0.59738   -0.03093
     0.61433   -0.02452
     0.63130   -0.01818
     0.64827   -0.01190
     0.66525   -0.00566
     0.68225    0.00055
     0.69925    0.00674
     0.71625    0.01294
     0.73326    0.01917
     0.75027    0.02547
     0.76729    0.03188
     0.78430    0.03843
     0.80132    0.04520
     0.81833    0.05225
     0.83534    0.05967
     0.85233    0.06756
     0.86931    0.07609
     0.88624    0.08543
     0.90311    0.09584
     0.91982    0.10767
     0.93623    0.12135
     0.95207    0.13743
     0.96689    0.15659
     0.98019    0.17908
     0.99163    0.20729
     1.00000    0.22501
