#      x          Cp  
     1.00000    0.21085
     0.99180    0.18680
     0.98067    0.15338
     0.96782    0.11651
     0.95357    0.07844
     0.93838    0.04118
     0.92265    0.00589
     0.90663   -0.02708
     0.89046   -0.05783
     0.87420   -0.08661
     0.85789   -0.11372
     0.84156   -0.13941
     0.82520   -0.16394
     0.80884   -0.18750
     0.79245   -0.21025
     0.77606   -0.23234
     0.75966   -0.25389
     0.74326   -0.27500
     0.72684   -0.29576
     0.71043   -0.31625
     0.69401   -0.33653
     0.67758   -0.35668
     0.66116   -0.37675
     0.64474   -0.39679
     0.62832   -0.41685
     0.61191   -0.43699
     0.59550   -0.45724
     0.57909   -0.47766
     0.56270   -0.49829
     0.54631   -0.51917
     0.52994   -0.54037
     0.51358   -0.56193
     0.49724   -0.58393
     0.48092   -0.60644
     0.46462   -0.62957
     0.44834   -0.65346
     0.43211   -0.67836
     0.41592   -0.70451
     0.39982   -0.73407
     0.38384   -0.76412
     0.36794   -0.79089
     0.35210   -0.81696
     0.33632   -0.84240
     0.32059   -0.86746
     0.30492   -0.89224
     0.28931   -0.91681
     0.27377   -0.94123
     0.25831   -0.96552
     0.24293   -0.98967
     0.22765   -1.01362
     0.21248   -1.03713
     0.19745   -1.05966
     0.18256   -1.08034
     0.16785   -1.10128
     0.15336   -1.13701
     0.13914   -1.18863
     0.12525   -1.21050
     0.11179   -1.23893
     0.09889   -1.27047
     0.08668   -1.30427
     0.07533   -1.34003
     0.06499   -1.37738
     0.05575   -1.41582
     0.04761   -1.45471
     0.04054   -1.49338
     0.03441   -1.53111
     0.02911   -1.56718
     0.02453   -1.60072
     0.02055   -1.63064
     0.01707   -1.65551
     0.01404   -1.67332
     0.01138   -1.68132
     0.00906   -1.67575
     0.00704   -1.65158
     0.00530   -1.60232
     0.00381   -1.52007
     0.00258   -1.39625
     0.00159   -1.22346
     0.00084   -0.99876
     0.00034   -0.72780
     0.00006   -0.42669
     0.00001   -0.12458
     0.00016    0.17114
     0.00056    0.44810
     0.00122    0.67954
     0.00215    0.84740
     0.00334    0.94950
     0.00480    0.99443
     0.00653    0.99661
     0.00853    0.96970
     0.01081    0.92487
     0.01339    0.86964
     0.01631    0.80959
     0.01960    0.74757
     0.02333    0.68600
     0.02757    0.62572
     0.03242    0.56766
     0.03798    0.51214
     0.04440    0.45955
     0.05181    0.41022
     0.06036    0.36458
     0.07013    0.32310
     0.08113    0.28625
     0.09329    0.25427
     0.10643    0.22714
     0.12037    0.20453
     0.13492    0.18593
     0.14993    0.17075
     0.16529    0.15842
     0.18092    0.14845
     0.19677    0.14041
     0.21279    0.13393
     0.22896    0.12873
     0.24525    0.12456
     0.26165    0.12120
     0.27814    0.11848
     0.29471    0.11625
     0.31136    0.11437
     0.32807    0.11269
     0.34483    0.11108
     0.36165    0.10938
     0.37849    0.10739
     0.39533    0.10437
     0.41212    0.10028
     0.42888    0.09810
     0.44564    0.09676
     0.46241    0.09600
     0.47921    0.09567
     0.49603    0.09566
     0.51287    0.09590
     0.52974    0.09632
     0.54662    0.09690
     0.56353    0.09760
     0.58045    0.09840
     0.59738    0.09928
     0.61433    0.10022
     0.63130    0.10121
     0.64827    0.10224
     0.66525    0.10332
     0.68225    0.10443
     0.69925    0.10559
     0.71625    0.10679
     0.73326    0.10806
     0.75027    0.10939
     0.76729    0.11081
     0.78430    0.11235
     0.80132    0.11402
     0.81833    0.11588
     0.83534    0.11797
     0.85233    0.12034
     0.86931    0.12308
     0.88624    0.12627
     0.90311    0.13002
     0.91982    0.13442
     0.93623    0.13950
     0.95207    0.14505
     0.96689    0.15048
     0.98019    0.15434
     0.99163    0.18445
     1.00000    0.21085
