#      x          Cp  
     1.00000    0.41276
     0.99180    0.23448
     0.98067    0.18199
     0.96782    0.13843
     0.95357    0.10481
     0.93838    0.07687
     0.92265    0.05323
     0.90663    0.03284
     0.89046    0.01495
     0.87420   -0.00096
     0.85789   -0.01527
     0.84156   -0.02829
     0.82520   -0.04022
     0.80884   -0.05123
     0.79245   -0.06146
     0.77606   -0.07101
     0.75966   -0.07997
     0.74326   -0.08839
     0.72684   -0.09635
     0.71043   -0.10388
     0.69401   -0.11103
     0.67758   -0.11782
     0.66116   -0.12428
     0.64474   -0.13044
     0.62832   -0.13631
     0.61191   -0.14190
     0.59550   -0.14723
     0.57909   -0.15230
     0.56270   -0.15711
     0.54631   -0.16168
     0.52994   -0.16600
     0.51358   -0.17007
     0.49724   -0.17391
     0.48092   -0.17752
     0.46462   -0.18092
     0.44834   -0.18416
     0.43211   -0.18736
     0.41592   -0.19057
     0.39982   -0.19576
     0.38384   -0.20031
     0.36794   -0.20100
     0.35210   -0.20016
     0.33632   -0.19770
     0.32059   -0.19369
     0.30492   -0.18811
     0.28931   -0.18089
     0.27377   -0.17193
     0.25831   -0.16112
     0.24293   -0.14830
     0.22765   -0.13330
     0.21248   -0.11592
     0.19745   -0.09592
     0.18256   -0.07302
     0.16785   -0.04691
     0.15336   -0.01722
     0.13914    0.01642
     0.12525    0.05445
     0.11179    0.09725
     0.09889    0.14510
     0.08668    0.19810
     0.07533    0.25598
     0.06499    0.31810
     0.05575    0.38351
     0.04761    0.45107
     0.04054    0.51970
     0.03441    0.58848
     0.02911    0.65657
     0.02453    0.72316
     0.02055    0.78730
     0.01707    0.84767
     0.01404    0.90241
     0.01138    0.94882
     0.00906    0.98300
     0.00704    0.99946
     0.00530    0.99069
     0.00381    0.94701
     0.00258    0.85690
     0.00159    0.70864
     0.00084    0.49378
     0.00034    0.21184
     0.00006   -0.12585
     0.00001   -0.49996
     0.00016   -0.91226
     0.00056   -1.32971
     0.00122   -1.70239
     0.00215   -1.99458
     0.00334   -2.19182
     0.00480   -2.30045
     0.00653   -2.33776
     0.00853   -2.32311
     0.01081   -2.27318
     0.01339   -2.20052
     0.01631   -2.11394
     0.01960   -2.01928
     0.02333   -1.92030
     0.02757   -1.81938
     0.03242   -1.71797
     0.03798   -1.61692
     0.04440   -1.51695
     0.05181   -1.41865
     0.06036   -1.32283
     0.07013   -1.23050
     0.08113   -1.14284
     0.09329   -1.06091
     0.10643   -0.98540
     0.12037   -0.91649
     0.13492   -0.85392
     0.14993   -0.79716
     0.16529   -0.74556
     0.18092   -0.69851
     0.19677   -0.65542
     0.21279   -0.61581
     0.22896   -0.57927
     0.24525   -0.54545
     0.26165   -0.51406
     0.27814   -0.48489
     0.29471   -0.45775
     0.31136   -0.43249
     0.32807   -0.40903
     0.34483   -0.38730
     0.36165   -0.36735
     0.37849   -0.34923
     0.39533   -0.33429
     0.41212   -0.32258
     0.42888   -0.30776
     0.44564   -0.29273
     0.46241   -0.27769
     0.47921   -0.26282
     0.49603   -0.24819
     0.51287   -0.23384
     0.52974   -0.21979
     0.54662   -0.20605
     0.56353   -0.19260
     0.58045   -0.17944
     0.59738   -0.16655
     0.61433   -0.15392
     0.63130   -0.14153
     0.64827   -0.12935
     0.66525   -0.11735
     0.68225   -0.10551
     0.69925   -0.09378
     0.71625   -0.08213
     0.73326   -0.07052
     0.75027   -0.05890
     0.76729   -0.04719
     0.78430   -0.03535
     0.80132   -0.02328
     0.81833   -0.01088
     0.83534    0.00197
     0.85233    0.01542
     0.86931    0.02968
     0.88624    0.04501
     0.90311    0.06178
     0.91982    0.08047
     0.93623    0.10178
     0.95207    0.12673
     0.96689    0.15668
     0.98019    0.19564
     0.99163    0.24332
     1.00000    0.41276
