#      x          Cp  
     1.00000    0.41119
     0.99180    0.22423
     0.98067    0.16701
     0.96782    0.11833
     0.95357    0.07987
     0.93838    0.04719
     0.92265    0.01894
     0.90663   -0.00595
     0.89046   -0.02822
     0.87420   -0.04842
     0.85789   -0.06697
     0.84156   -0.08417
     0.82520   -0.10026
     0.80884   -0.11543
     0.79245   -0.12981
     0.77606   -0.14353
     0.75966   -0.15668
     0.74326   -0.16933
     0.72684   -0.18156
     0.71043   -0.19342
     0.69401   -0.20496
     0.67758   -0.21622
     0.66116   -0.22723
     0.64474   -0.23803
     0.62832   -0.24864
     0.61191   -0.25908
     0.59550   -0.26938
     0.57909   -0.27956
     0.56270   -0.28963
     0.54631   -0.29961
     0.52994   -0.30951
     0.51358   -0.31937
     0.49724   -0.32919
     0.48092   -0.33901
     0.46462   -0.34888
     0.44834   -0.35886
     0.43211   -0.36914
     0.41592   -0.37979
     0.39982   -0.39314
     0.38384   -0.40620
     0.36794   -0.41523
     0.35210   -0.42296
     0.33632   -0.42932
     0.32059   -0.43443
     0.30492   -0.43830
     0.28931   -0.44091
     0.27377   -0.44220
     0.25831   -0.44208
     0.24293   -0.44045
     0.22765   -0.43718
     0.21248   -0.43213
     0.19745   -0.42512
     0.18256   -0.41593
     0.16785   -0.40433
     0.15336   -0.39003
     0.13914   -0.37270
     0.12525   -0.35197
     0.11179   -0.32746
     0.09889   -0.29880
     0.08668   -0.26568
     0.07533   -0.22797
     0.06499   -0.18575
     0.05575   -0.13925
     0.04761   -0.08882
     0.04054   -0.03474
     0.03441    0.02288
     0.02911    0.08407
     0.02453    0.14907
     0.02055    0.21818
     0.01707    0.29174
     0.01404    0.37007
     0.01138    0.45328
     0.00906    0.54108
     0.00704    0.63250
     0.00530    0.72541
     0.00381    0.81590
     0.00258    0.89766
     0.00159    0.96165
     0.00084    0.99666
     0.00034    0.99167
     0.00006    0.93953
     0.00001    0.84037
     0.00016    0.69163
     0.00056    0.49848
     0.00122    0.28144
     0.00215    0.06496
     0.00334   -0.13017
     0.00480   -0.29274
     0.00653   -0.42027
     0.00853   -0.51573
     0.01081   -0.58427
     0.01339   -0.63124
     0.01631   -0.66132
     0.01960   -0.67829
     0.02333   -0.68503
     0.02757   -0.68374
     0.03242   -0.67602
     0.03798   -0.66303
     0.04440   -0.64569
     0.05181   -0.62470
     0.06036   -0.60077
     0.07013   -0.57460
     0.08113   -0.54700
     0.09329   -0.51881
     0.10643   -0.49077
     0.12037   -0.46344
     0.13492   -0.43718
     0.14993   -0.41214
     0.16529   -0.38838
     0.18092   -0.36588
     0.19677   -0.34459
     0.21279   -0.32445
     0.22896   -0.30538
     0.24525   -0.28735
     0.26165   -0.27030
     0.27814   -0.25419
     0.29471   -0.23901
     0.31136   -0.22474
     0.32807   -0.21140
     0.34483   -0.19902
     0.36165   -0.18770
     0.37849   -0.17756
     0.39533   -0.16982
     0.41212   -0.16459
     0.42888   -0.15634
     0.44564   -0.14763
     0.46241   -0.13867
     0.47921   -0.12963
     0.49603   -0.12059
     0.51287   -0.11161
     0.52974   -0.10272
     0.54662   -0.09394
     0.56353   -0.08527
     0.58045   -0.07673
     0.59738   -0.06830
     0.61433   -0.05999
     0.63130   -0.05178
     0.64827   -0.04367
     0.66525   -0.03563
     0.68225   -0.02765
     0.69925   -0.01971
     0.71625   -0.01176
     0.73326   -0.00379
     0.75027    0.00425
     0.76729    0.01241
     0.78430    0.02074
     0.80132    0.02932
     0.81833    0.03824
     0.83534    0.04759
     0.85233    0.05752
     0.86931    0.06822
     0.88624    0.07992
     0.90311    0.09297
     0.91982    0.10783
     0.93623    0.12517
     0.95207    0.14599
     0.96689    0.17169
     0.98019    0.20612
     0.99163    0.24966
     1.00000    0.41119
