#      x          Cp  
     1.00000    0.41227
     0.99180    0.23267
     0.98067    0.17949
     0.96782    0.13517
     0.95357    0.10085
     0.93838    0.07224
     0.92265    0.04793
     0.90663    0.02689
     0.89046    0.00838
     0.87420   -0.00813
     0.85789   -0.02305
     0.84156   -0.03666
     0.82520   -0.04918
     0.80884   -0.06078
     0.79245   -0.07159
     0.77606   -0.08172
     0.75966   -0.09127
     0.74326   -0.10028
     0.72684   -0.10884
     0.71043   -0.11697
     0.69401   -0.12473
     0.67758   -0.13214
     0.66116   -0.13924
     0.64474   -0.14604
     0.62832   -0.15257
     0.61191   -0.15883
     0.59550   -0.16484
     0.57909   -0.17061
     0.56270   -0.17615
     0.54631   -0.18145
     0.52994   -0.18654
     0.51358   -0.19140
     0.49724   -0.19606
     0.48092   -0.20051
     0.46462   -0.20479
     0.44834   -0.20895
     0.43211   -0.21310
     0.41592   -0.21731
     0.39982   -0.22360
     0.38384   -0.22930
     0.36794   -0.23110
     0.35210   -0.23140
     0.33632   -0.23011
     0.32059   -0.22730
     0.30492   -0.22296
     0.28931   -0.21702
     0.27377   -0.20939
     0.25831   -0.19995
     0.24293   -0.18857
     0.22765   -0.17506
     0.21248   -0.15923
     0.19745   -0.14084
     0.18256   -0.11963
     0.16785   -0.09528
     0.15336   -0.06743
     0.13914   -0.03570
     0.12525    0.00035
     0.11179    0.04111
     0.09889    0.08691
     0.08668    0.13788
     0.07533    0.19383
     0.06499    0.25424
     0.05575    0.31824
     0.04761    0.38484
     0.04054    0.45309
     0.03441    0.52218
     0.02911    0.59142
     0.02453    0.66020
     0.02055    0.72776
     0.01707    0.79307
     0.01404    0.85464
     0.01138    0.91022
     0.00906    0.95648
     0.00704    0.98863
     0.00530    0.99994
     0.00381    0.98150
     0.00258    0.92240
     0.00159    0.81099
     0.00084    0.63797
     0.00034    0.40072
     0.00006    0.10739
     0.00001   -0.22557
     0.00016   -0.59989
     0.00056   -0.98736
     0.00122   -1.34230
     0.00215   -1.63005
     0.00334   -1.83437
     0.00480   -1.95829
     0.00653   -2.01569
     0.00853   -2.02330
     0.01081   -1.99606
     0.01339   -1.94552
     0.01631   -1.87994
     0.01960   -1.80498
     0.02333   -1.72434
     0.02757   -1.64046
     0.03242   -1.55488
     0.03798   -1.46854
     0.04440   -1.38223
     0.05181   -1.29659
     0.06036   -1.21244
     0.07013   -1.13077
     0.08113   -1.05270
     0.09329   -0.97929
     0.10643   -0.91126
     0.12037   -0.84886
     0.13492   -0.79194
     0.14993   -0.74009
     0.16529   -0.69279
     0.18092   -0.64951
     0.19677   -0.60976
     0.21279   -0.57312
     0.22896   -0.53923
     0.24525   -0.50781
     0.26165   -0.47859
     0.27814   -0.45139
     0.29471   -0.42605
     0.31136   -0.40245
     0.32807   -0.38050
     0.34483   -0.36018
     0.36165   -0.34152
     0.37849   -0.32459
     0.39533   -0.31072
     0.41212   -0.29998
     0.42888   -0.28614
     0.44564   -0.27204
     0.46241   -0.25790
     0.47921   -0.24390
     0.49603   -0.23009
     0.51287   -0.21654
     0.52974   -0.20325
     0.54662   -0.19023
     0.56353   -0.17749
     0.58045   -0.16501
     0.59738   -0.15277
     0.61433   -0.14078
     0.63130   -0.12900
     0.64827   -0.11741
     0.66525   -0.10599
     0.68225   -0.09471
     0.69925   -0.08353
     0.71625   -0.07242
     0.73326   -0.06134
     0.75027   -0.05023
     0.76729   -0.03904
     0.78430   -0.02771
     0.80132   -0.01614
     0.81833   -0.00424
     0.83534    0.00810
     0.85233    0.02105
     0.86931    0.03479
     0.88624    0.04961
     0.90311    0.06584
     0.91982    0.08399
     0.93623    0.10474
     0.95207    0.12909
     0.96689    0.15845
     0.98019    0.19677
     0.99163    0.24388
     1.00000    0.41227
