#      x          Cp  
     1.00000    0.41114
     0.99180    0.22534
     0.98067    0.16878
     0.96782    0.12082
     0.95357    0.08303
     0.93838    0.05103
     0.92265    0.02343
     0.90663   -0.00082
     0.89046   -0.02246
     0.87420   -0.04204
     0.85789   -0.05999
     0.84156   -0.07659
     0.82520   -0.09208
     0.80884   -0.10664
     0.79245   -0.12043
     0.77606   -0.13354
     0.75966   -0.14608
     0.74326   -0.15812
     0.72684   -0.16972
     0.71043   -0.18095
     0.69401   -0.19185
     0.67758   -0.20245
     0.66116   -0.21280
     0.64474   -0.22291
     0.62832   -0.23282
     0.61191   -0.24255
     0.59550   -0.25212
     0.57909   -0.26154
     0.56270   -0.27083
     0.54631   -0.28001
     0.52994   -0.28908
     0.51358   -0.29807
     0.49724   -0.30700
     0.48092   -0.31590
     0.46462   -0.32480
     0.44834   -0.33377
     0.43211   -0.34298
     0.41592   -0.35251
     0.39982   -0.36464
     0.38384   -0.37641
     0.36794   -0.38417
     0.35210   -0.39059
     0.33632   -0.39560
     0.32059   -0.39931
     0.30492   -0.40173
     0.28931   -0.40281
     0.27377   -0.40250
     0.25831   -0.40070
     0.24293   -0.39731
     0.22765   -0.39218
     0.21248   -0.38516
     0.19745   -0.37605
     0.18256   -0.36464
     0.16785   -0.35066
     0.15336   -0.33380
     0.13914   -0.31373
     0.12525   -0.29004
     0.11179   -0.26234
     0.09889   -0.23026
     0.08668   -0.19349
     0.07533   -0.15195
     0.06499   -0.10576
     0.05575   -0.05527
     0.04761   -0.00091
     0.04054    0.05694
     0.03441    0.11806
     0.02911    0.18238
     0.02453    0.25001
     0.02055    0.32112
     0.01707    0.39586
     0.01404    0.47428
     0.01138    0.55615
     0.00906    0.64073
     0.00704    0.72644
     0.00530    0.81039
     0.00381    0.88782
     0.00258    0.95152
     0.00159    0.99177
     0.00084    0.99728
     0.00034    0.95791
     0.00006    0.86861
     0.00001    0.73210
     0.00016    0.54609
     0.00056    0.31889
     0.00122    0.07516
     0.00215   -0.15850
     0.00334   -0.36132
     0.00480   -0.52376
     0.00653   -0.64563
     0.00853   -0.73192
     0.01081   -0.78933
     0.01339   -0.82426
     0.01631   -0.84204
     0.01960   -0.84683
     0.02333   -0.84174
     0.02757   -0.82904
     0.03242   -0.81041
     0.03798   -0.78698
     0.04440   -0.75971
     0.05181   -0.72931
     0.06036   -0.69653
     0.07013   -0.66212
     0.08113   -0.62697
     0.09329   -0.59196
     0.10643   -0.55784
     0.12037   -0.52515
     0.13492   -0.49417
     0.14993   -0.46499
     0.16529   -0.43758
     0.18092   -0.41185
     0.19677   -0.38767
     0.21279   -0.36494
     0.22896   -0.34354
     0.24525   -0.32340
     0.26165   -0.30442
     0.27814   -0.28656
     0.29471   -0.26976
     0.31136   -0.25401
     0.32807   -0.23930
     0.34483   -0.22565
     0.36165   -0.21316
     0.37849   -0.20193
     0.39533   -0.19321
     0.41212   -0.18710
     0.42888   -0.17795
     0.44564   -0.16837
     0.46241   -0.15857
     0.47921   -0.14873
     0.49603   -0.13892
     0.51287   -0.12921
     0.52974   -0.11960
     0.54662   -0.11013
     0.56353   -0.10080
     0.58045   -0.09162
     0.59738   -0.08257
     0.61433   -0.07366
     0.63130   -0.06487
     0.64827   -0.05619
     0.66525   -0.04760
     0.68225   -0.03908
     0.69925   -0.03060
     0.71625   -0.02214
     0.73326   -0.01366
     0.75027   -0.00511
     0.76729    0.00354
     0.78430    0.01237
     0.80132    0.02144
     0.81833    0.03085
     0.83534    0.04070
     0.85233    0.05113
     0.86931    0.06233
     0.88624    0.07455
     0.90311    0.08813
     0.91982    0.10354
     0.93623    0.12145
     0.95207    0.14285
     0.96689    0.16917
     0.98019    0.20426
     0.99163    0.24841
     1.00000    0.41114
