#      x          Cp  
     1.00000    0.42117
     0.99180    0.22102
     0.98067    0.15553
     0.96782    0.09758
     0.95357    0.05007
     0.93838    0.00837
     0.92265   -0.02877
     0.90663   -0.06242
     0.89046   -0.09332
     0.87420   -0.12207
     0.85789   -0.14911
     0.84156   -0.17478
     0.82520   -0.19935
     0.80884   -0.22302
     0.79245   -0.24597
     0.77606   -0.26833
     0.75966   -0.29023
     0.74326   -0.31176
     0.72684   -0.33300
     0.71043   -0.35405
     0.69401   -0.37495
     0.67758   -0.39578
     0.66116   -0.41660
     0.64474   -0.43745
     0.62832   -0.45838
     0.61191   -0.47945
     0.59550   -0.50071
     0.57909   -0.52219
     0.56270   -0.54395
     0.54631   -0.56604
     0.52994   -0.58852
     0.51358   -0.61144
     0.49724   -0.63488
     0.48092   -0.65892
     0.46462   -0.68368
     0.44834   -0.70930
     0.43211   -0.73607
     0.41592   -0.76418
     0.39982   -0.79671
     0.38384   -0.82991
     0.36794   -0.85901
     0.35210   -0.88761
     0.33632   -0.91571
     0.32059   -0.94359
     0.30492   -0.97138
     0.28931   -0.99919
     0.27377   -1.02711
     0.25831   -1.05524
     0.24293   -1.08367
     0.22765   -1.11250
     0.21248   -1.14185
     0.19745   -1.17189
     0.18256   -1.20279
     0.16785   -1.23477
     0.15336   -1.26810
     0.13914   -1.30309
     0.12525   -1.34010
     0.11179   -1.37952
     0.09889   -1.42172
     0.08668   -1.46697
     0.07533   -1.51533
     0.06499   -1.56661
     0.05575   -1.62034
     0.04761   -1.67585
     0.04054   -1.73244
     0.03441   -1.78934
     0.02911   -1.84588
     0.02453   -1.90117
     0.02055   -1.95419
     0.01707   -2.00353
     0.01404   -2.04714
     0.01138   -2.08214
     0.00906   -2.10444
     0.00704   -2.10838
     0.00530   -2.08637
     0.00381   -2.02877
     0.00258   -1.92445
     0.00159   -1.76265
     0.00084   -1.53674
     0.00034   -1.24936
     0.00006   -0.91580
     0.00001   -0.56805
     0.00016   -0.21636
     0.00056    0.12950
     0.00122    0.43561
     0.00215    0.67736
     0.00334    0.84553
     0.00480    0.94588
     0.00653    0.99197
     0.00853    0.99870
     0.01081    0.97879
     0.01339    0.94181
     0.01631    0.89446
     0.01960    0.84127
     0.02333    0.78516
     0.02757    0.72805
     0.03242    0.67117
     0.03798    0.61537
     0.04440    0.56130
     0.05181    0.50957
     0.06036    0.46080
     0.07013    0.41572
     0.08113    0.37497
     0.09329    0.33902
     0.10643    0.30797
     0.12037    0.28163
     0.13492    0.25954
     0.14993    0.24114
     0.16529    0.22585
     0.18092    0.21317
     0.19677    0.20265
     0.21279    0.19390
     0.22896    0.18661
     0.24525    0.18053
     0.26165    0.17541
     0.27814    0.17108
     0.29471    0.16736
     0.31136    0.16410
     0.32807    0.16116
     0.34483    0.15840
     0.36165    0.15564
     0.37849    0.15270
     0.39533    0.14862
     0.41212    0.14322
     0.42888    0.14050
     0.44564    0.13856
     0.46241    0.13721
     0.47921    0.13629
     0.49603    0.13570
     0.51287    0.13539
     0.52974    0.13529
     0.54662    0.13539
     0.56353    0.13564
     0.58045    0.13602
     0.59738    0.13652
     0.61433    0.13712
     0.63130    0.13781
     0.64827    0.13859
     0.66525    0.13945
     0.68225    0.14040
     0.69925    0.14144
     0.71625    0.14259
     0.73326    0.14385
     0.75027    0.14525
     0.76729    0.14682
     0.78430    0.14858
     0.80132    0.15060
     0.81833    0.15292
     0.83534    0.15564
     0.85233    0.15884
     0.86931    0.16268
     0.88624    0.16735
     0.90311    0.17314
     0.91982    0.18044
     0.93623    0.18986
     0.95207    0.20235
     0.96689    0.21933
     0.98019    0.24426
     0.99163    0.27877
     1.00000    0.42117
