#      x          Cp  
     1.00000    0.41186
     0.99180    0.22158
     0.98067    0.16245
     0.96782    0.11167
     0.95357    0.07118
     0.93838    0.03651
     0.92265    0.00630
     0.90663   -0.02050
     0.89046   -0.04464
     0.87420   -0.06669
     0.85789   -0.08706
     0.84156   -0.10608
     0.82520   -0.12398
     0.80884   -0.14096
     0.79245   -0.15716
     0.77606   -0.17270
     0.75966   -0.18770
     0.74326   -0.20222
     0.72684   -0.21634
     0.71043   -0.23012
     0.69401   -0.24361
     0.67758   -0.25686
     0.66116   -0.26990
     0.64474   -0.28278
     0.62832   -0.29552
     0.61191   -0.30815
     0.59550   -0.32070
     0.57909   -0.33319
     0.56270   -0.34564
     0.54631   -0.35809
     0.52994   -0.37054
     0.51358   -0.38304
     0.49724   -0.39561
     0.48092   -0.40829
     0.46462   -0.42115
     0.44834   -0.43426
     0.43211   -0.44783
     0.41592   -0.46194
     0.39982   -0.47911
     0.38384   -0.49616
     0.36794   -0.50914
     0.35210   -0.52094
     0.33632   -0.53152
     0.32059   -0.54102
     0.30492   -0.54949
     0.28931   -0.55690
     0.27377   -0.56324
     0.25831   -0.56843
     0.24293   -0.57241
     0.22765   -0.57508
     0.21248   -0.57635
     0.19745   -0.57607
     0.18256   -0.57410
     0.16785   -0.57025
     0.15336   -0.56431
     0.13914   -0.55603
     0.12525   -0.54514
     0.11179   -0.53132
     0.09889   -0.51426
     0.08668   -0.49367
     0.07533   -0.46936
     0.06499   -0.44123
     0.05575   -0.40929
     0.04761   -0.37360
     0.04054   -0.33417
     0.03441   -0.29083
     0.02911   -0.24329
     0.02453   -0.19102
     0.02055   -0.13333
     0.01707   -0.06942
     0.01404    0.00170
     0.01138    0.08106
     0.00906    0.16965
     0.00704    0.26819
     0.00530    0.37674
     0.00381    0.49410
     0.00258    0.61695
     0.00159    0.73885
     0.00084    0.84982
     0.00034    0.93732
     0.00006    0.98920
     0.00001    0.99795
     0.00016    0.96007
     0.00056    0.87287
     0.00122    0.74467
     0.00215    0.59234
     0.00334    0.43500
     0.00480    0.28728
     0.00653    0.15724
     0.00853    0.04744
     0.01081   -0.04282
     0.01339   -0.11574
     0.01631   -0.17391
     0.01960   -0.21977
     0.02333   -0.25542
     0.02757   -0.28260
     0.03242   -0.30265
     0.03798   -0.31658
     0.04440   -0.32521
     0.05181   -0.32913
     0.06036   -0.32888
     0.07013   -0.32495
     0.08113   -0.31792
     0.09329   -0.30844
     0.10643   -0.29717
     0.12037   -0.28473
     0.13492   -0.27162
     0.14993   -0.25820
     0.16529   -0.24473
     0.18092   -0.23138
     0.19677   -0.21828
     0.21279   -0.20549
     0.22896   -0.19308
     0.24525   -0.18108
     0.26165   -0.16954
     0.27814   -0.15848
     0.29471   -0.14794
     0.31136   -0.13795
     0.32807   -0.12856
     0.34483   -0.11984
     0.36165   -0.11192
     0.37849   -0.10491
     0.39533   -0.10002
     0.41212   -0.09734
     0.42888   -0.09170
     0.44564   -0.08551
     0.46241   -0.07898
     0.47921   -0.07227
     0.49603   -0.06549
     0.51287   -0.05867
     0.52974   -0.05187
     0.54662   -0.04510
     0.56353   -0.03837
     0.58045   -0.03171
     0.59738   -0.02510
     0.61433   -0.01856
     0.63130   -0.01207
     0.64827   -0.00562
     0.66525    0.00078
     0.68225    0.00717
     0.69925    0.01355
     0.71625    0.01996
     0.73326    0.02642
     0.75027    0.03298
     0.76729    0.03966
     0.78430    0.04653
     0.80132    0.05365
     0.81833    0.06109
     0.83534    0.06898
     0.85233    0.07743
     0.86931    0.08662
     0.88624    0.09678
     0.90311    0.10824
     0.91982    0.12146
     0.93623    0.13709
     0.95207    0.15612
     0.96689    0.17997
     0.98019    0.21240
     0.99163    0.25408
     1.00000    0.41186
