#      x          Cp  
     1.00000    0.42890
     0.99180    0.22551
     0.98067    0.15752
     0.96782    0.09664
     0.95357    0.04620
     0.93838    0.00151
     0.92265   -0.03863
     0.90663   -0.07525
     0.89046   -0.10912
     0.87420   -0.14084
     0.85789   -0.17084
     0.84156   -0.19949
     0.82520   -0.22705
     0.80884   -0.25375
     0.79245   -0.27977
     0.77606   -0.30524
     0.75966   -0.33030
     0.74326   -0.35505
     0.72684   -0.37959
     0.71043   -0.40400
     0.69401   -0.42836
     0.67758   -0.45273
     0.66116   -0.47719
     0.64474   -0.50179
     0.62832   -0.52659
     0.61191   -0.55166
     0.59550   -0.57705
     0.57909   -0.60282
     0.56270   -0.62903
     0.54631   -0.65576
     0.52994   -0.68306
     0.51358   -0.71103
     0.49724   -0.73974
     0.48092   -0.76932
     0.46462   -0.79990
     0.44834   -0.83166
     0.43211   -0.86493
     0.41592   -0.89994
     0.39982   -0.94007
     0.38384   -0.98130
     0.36794   -1.01849
     0.35210   -1.05556
     0.33632   -1.09256
     0.32059   -1.12983
     0.30492   -1.16757
     0.28931   -1.20594
     0.27377   -1.24513
     0.25831   -1.28532
     0.24293   -1.32669
     0.22765   -1.36949
     0.21248   -1.41398
     0.19745   -1.46051
     0.18256   -1.50946
     0.16785   -1.56132
     0.15336   -1.61669
     0.13914   -1.67626
     0.12525   -1.74087
     0.11179   -1.81140
     0.09889   -1.88879
     0.08668   -1.97381
     0.07533   -2.06694
     0.06499   -2.16815
     0.05575   -2.27696
     0.04761   -2.39256
     0.04054   -2.51408
     0.03441   -2.64069
     0.02911   -2.77185
     0.02453   -2.90690
     0.02055   -3.04517
     0.01707   -3.18560
     0.01404   -3.32639
     0.01138   -3.46461
     0.00906   -3.59557
     0.00704   -3.71209
     0.00530   -3.80350
     0.00381   -3.85482
     0.00258   -3.84657
     0.00159   -3.75641
     0.00084   -3.56396
     0.00034   -3.25939
     0.00006   -2.85153
     0.00001   -2.38149
     0.00016   -1.86421
     0.00056   -1.30141
     0.00122   -0.74460
     0.00215   -0.24402
     0.00334    0.16684
     0.00480    0.47868
     0.00653    0.69980
     0.00853    0.84644
     0.01081    0.93586
     0.01339    0.98299
     0.01631    0.99954
     0.01960    0.99424
     0.02333    0.97339
     0.02757    0.94152
     0.03242    0.90188
     0.03798    0.85685
     0.04440    0.80828
     0.05181    0.75773
     0.06036    0.70665
     0.07013    0.65652
     0.08113    0.60873
     0.09329    0.56445
     0.10643    0.52444
     0.12037    0.48896
     0.13492    0.45788
     0.14993    0.43082
     0.16529    0.40733
     0.18092    0.38690
     0.19677    0.36911
     0.21279    0.35355
     0.22896    0.33988
     0.24525    0.32780
     0.26165    0.31707
     0.27814    0.30746
     0.29471    0.29879
     0.31136    0.29087
     0.32807    0.28354
     0.34483    0.27665
     0.36165    0.27002
     0.37849    0.26346
     0.39533    0.25610
     0.41212    0.24776
     0.42888    0.24192
     0.44564    0.23692
     0.46241    0.23257
     0.47921    0.22873
     0.49603    0.22529
     0.51287    0.22221
     0.52974    0.21942
     0.54662    0.21689
     0.56353    0.21458
     0.58045    0.21246
     0.59738    0.21052
     0.61433    0.20874
     0.63130    0.20709
     0.64827    0.20557
     0.66525    0.20418
     0.68225    0.20291
     0.69925    0.20176
     0.71625    0.20073
     0.73326    0.19984
     0.75027    0.19910
     0.76729    0.19853
     0.78430    0.19816
     0.80132    0.19803
     0.81833    0.19818
     0.83534    0.19870
     0.85233    0.19966
     0.86931    0.20120
     0.88624    0.20349
     0.90311    0.20680
     0.91982    0.21150
     0.93623    0.21818
     0.95207    0.22774
     0.96689    0.24162
     0.98019    0.26310
     0.99163    0.29422
     1.00000    0.42890
