#      x          Cp  
     1.00000    0.41226
     0.99180    0.22094
     0.98067    0.16118
     0.96782    0.10971
     0.95357    0.06856
     0.93838    0.03323
     0.92265    0.00237
     0.90663   -0.02506
     0.89046   -0.04982
     0.87420   -0.07249
     0.85789   -0.09347
     0.84156   -0.11310
     0.82520   -0.13160
     0.80884   -0.14918
     0.79245   -0.16599
     0.77606   -0.18215
     0.75966   -0.19776
     0.74326   -0.21291
     0.72684   -0.22767
     0.71043   -0.24210
     0.69401   -0.25625
     0.67758   -0.27017
     0.66116   -0.28390
     0.64474   -0.29748
     0.62832   -0.31094
     0.61191   -0.32431
     0.59550   -0.33762
     0.57909   -0.35090
     0.56270   -0.36417
     0.54631   -0.37745
     0.52994   -0.39077
     0.51358   -0.40417
     0.49724   -0.41768
     0.48092   -0.43134
     0.46462   -0.44522
     0.44834   -0.45941
     0.43211   -0.47410
     0.41592   -0.48941
     0.39982   -0.50789
     0.38384   -0.52631
     0.36794   -0.54064
     0.35210   -0.55386
     0.33632   -0.56590
     0.32059   -0.57693
     0.30492   -0.58700
     0.28931   -0.59609
     0.27377   -0.60419
     0.25831   -0.61124
     0.24293   -0.61720
     0.22765   -0.62197
     0.21248   -0.62548
     0.19745   -0.62760
     0.18256   -0.62820
     0.16785   -0.62713
     0.15336   -0.62421
     0.13914   -0.61922
     0.12525   -0.61192
     0.11179   -0.60204
     0.09889   -0.58929
     0.08668   -0.57341
     0.07533   -0.55418
     0.06499   -0.53148
     0.05575   -0.50525
     0.04761   -0.47545
     0.04054   -0.44202
     0.03441   -0.40470
     0.02911   -0.36313
     0.02453   -0.31669
     0.02055   -0.26461
     0.01707   -0.20595
     0.01404   -0.13954
     0.01138   -0.06408
     0.00906    0.02181
     0.00704    0.11936
     0.00530    0.22939
     0.00381    0.35161
     0.00258    0.48376
     0.00159    0.62051
     0.00084    0.75259
     0.00034    0.86735
     0.00006    0.95137
     0.00001    0.99469
     0.00016    0.99339
     0.00056    0.94275
     0.00122    0.84705
     0.00215    0.72029
     0.00334    0.58044
     0.00480    0.44274
     0.00653    0.31669
     0.00853    0.20651
     0.01081    0.11290
     0.01339    0.03473
     0.01631   -0.02985
     0.01960   -0.08279
     0.02333   -0.12587
     0.02757   -0.16061
     0.03242   -0.18824
     0.03798   -0.20968
     0.04440   -0.22569
     0.05181   -0.23679
     0.06036   -0.24346
     0.07013   -0.24611
     0.08113   -0.24524
     0.09329   -0.24140
     0.10643   -0.23523
     0.12037   -0.22736
     0.13492   -0.21830
     0.14993   -0.20848
     0.16529   -0.19821
     0.18092   -0.18773
     0.19677   -0.17719
     0.21279   -0.16672
     0.22896   -0.15640
     0.24525   -0.14632
     0.26165   -0.13652
     0.27814   -0.12707
     0.29471   -0.11800
     0.31136   -0.10938
     0.32807   -0.10126
     0.34483   -0.09371
     0.36165   -0.08688
     0.37849   -0.08088
     0.39533   -0.07689
     0.41212   -0.07504
     0.42888   -0.07024
     0.44564   -0.06486
     0.46241   -0.05911
     0.47921   -0.05316
     0.49603   -0.04710
     0.51287   -0.04099
     0.52974   -0.03486
     0.54662   -0.02875
     0.56353   -0.02266
     0.58045   -0.01660
     0.59738   -0.01059
     0.61433   -0.00462
     0.63130    0.00131
     0.64827    0.00721
     0.66525    0.01308
     0.68225    0.01894
     0.69925    0.02482
     0.71625    0.03072
     0.73326    0.03669
     0.75027    0.04275
     0.76729    0.04895
     0.78430    0.05533
     0.80132    0.06197
     0.81833    0.06894
     0.83534    0.07634
     0.85233    0.08429
     0.86931    0.09298
     0.88624    0.10264
     0.90311    0.11357
     0.91982    0.12625
     0.93623    0.14131
     0.95207    0.15974
     0.96689    0.18297
     0.98019    0.21473
     0.99163    0.25577
     1.00000    0.41226
