#      x          Cp  
     1.00000    0.41869
     0.99180    0.22006
     0.98067    0.15563
     0.96782    0.09892
     0.95357    0.05263
     0.93838    0.01217
     0.92265   -0.02375
     0.90663   -0.05617
     0.89046   -0.08587
     0.87420   -0.11342
     0.85789   -0.13925
     0.84156   -0.16372
     0.82520   -0.18708
     0.80884   -0.20953
     0.79245   -0.23125
     0.77606   -0.25237
     0.75966   -0.27300
     0.74326   -0.29324
     0.72684   -0.31318
     0.71043   -0.33288
     0.69401   -0.35242
     0.67758   -0.37184
     0.66116   -0.39121
     0.64474   -0.41058
     0.62832   -0.42999
     0.61191   -0.44948
     0.59550   -0.46911
     0.57909   -0.48891
     0.56270   -0.50892
     0.54631   -0.52919
     0.52994   -0.54978
     0.51358   -0.57073
     0.49724   -0.59211
     0.48092   -0.61400
     0.46462   -0.63650
     0.44834   -0.65974
     0.43211   -0.68398
     0.41592   -0.70941
     0.39982   -0.73900
     0.38384   -0.76911
     0.36794   -0.79510
     0.35210   -0.82044
     0.33632   -0.84513
     0.32059   -0.86943
     0.30492   -0.89343
     0.28931   -0.91723
     0.27377   -0.94089
     0.25831   -0.96446
     0.24293   -0.98801
     0.22765   -1.01160
     0.21248   -1.03530
     0.19745   -1.05920
     0.18256   -1.08341
     0.16785   -1.10804
     0.15336   -1.13326
     0.13914   -1.15924
     0.12525   -1.18621
     0.11179   -1.21436
     0.09889   -1.24389
     0.08668   -1.27490
     0.07533   -1.30736
     0.06499   -1.34104
     0.05575   -1.37550
     0.04761   -1.41017
     0.04054   -1.44445
     0.03441   -1.47762
     0.02911   -1.50902
     0.02453   -1.53772
     0.02055   -1.56267
     0.01707   -1.58241
     0.01404   -1.59494
     0.01138   -1.59752
     0.00906   -1.58646
     0.00704   -1.55682
     0.00530   -1.50232
     0.00381   -1.41538
     0.00258   -1.28791
     0.00159   -1.11313
     0.00084   -0.88885
     0.00034   -0.62131
     0.00006   -0.32701
     0.00001   -0.03393
     0.00016    0.24929
     0.00056    0.51163
     0.00122    0.72650
     0.00215    0.87840
     0.00334    0.96583
     0.00480    0.99865
     0.00653    0.99120
     0.00853    0.95707
     0.01081    0.90687
     0.01339    0.84805
     0.01631    0.78543
     0.01960    0.72201
     0.02333    0.65959
     0.02757    0.59918
     0.03242    0.54135
     0.03798    0.48647
     0.04440    0.43479
     0.05181    0.38660
     0.06036    0.34228
     0.07013    0.30225
     0.08113    0.26690
     0.09329    0.23645
     0.10643    0.21081
     0.12037    0.18963
     0.13492    0.17238
     0.14993    0.15847
     0.16529    0.14733
     0.18092    0.13848
     0.19677    0.13148
     0.21279    0.12599
     0.22896    0.12172
     0.24525    0.11842
     0.26165    0.11591
     0.27814    0.11399
     0.29471    0.11253
     0.31136    0.11138
     0.32807    0.11042
     0.34483    0.10950
     0.36165    0.10846
     0.37849    0.10714
     0.39533    0.10452
     0.41212    0.10043
     0.42888    0.09908
     0.44564    0.09848
     0.46241    0.09843
     0.47921    0.09878
     0.49603    0.09942
     0.51287    0.10030
     0.52974    0.10137
     0.54662    0.10259
     0.56353    0.10393
     0.58045    0.10538
     0.59738    0.10692
     0.61433    0.10853
     0.63130    0.11021
     0.64827    0.11196
     0.66525    0.11377
     0.68225    0.11566
     0.69925    0.11762
     0.71625    0.11968
     0.73326    0.12184
     0.75027    0.12413
     0.76729    0.12659
     0.78430    0.12925
     0.80132    0.13216
     0.81833    0.13538
     0.83534    0.13900
     0.85233    0.14313
     0.86931    0.14792
     0.88624    0.15357
     0.90311    0.16036
     0.91982    0.16872
     0.93623    0.17926
     0.95207    0.19293
     0.96689    0.21116
     0.98019    0.23747
     0.99163    0.27331
     1.00000    0.41869
