#      x          Cp  
     1.00000    0.41132
     0.99180    0.22793
     0.98067    0.17269
     0.96782    0.12618
     0.95357    0.08977
     0.93838    0.05911
     0.92265    0.03283
     0.90663    0.00986
     0.89046   -0.01053
     0.87420   -0.02888
     0.85789   -0.04561
     0.84156   -0.06101
     0.82520   -0.07530
     0.80884   -0.08868
     0.79245   -0.10126
     0.77606   -0.11318
     0.75966   -0.12450
     0.74326   -0.13532
     0.72684   -0.14570
     0.71043   -0.15567
     0.69401   -0.16530
     0.67758   -0.17461
     0.66116   -0.18364
     0.64474   -0.19241
     0.62832   -0.20094
     0.61191   -0.20926
     0.59550   -0.21738
     0.57909   -0.22532
     0.56270   -0.23308
     0.54631   -0.24068
     0.52994   -0.24812
     0.51358   -0.25543
     0.49724   -0.26261
     0.48092   -0.26968
     0.46462   -0.27669
     0.44834   -0.28369
     0.43211   -0.29082
     0.41592   -0.29817
     0.39982   -0.30790
     0.38384   -0.31717
     0.36794   -0.32247
     0.35210   -0.32636
     0.33632   -0.32876
     0.32059   -0.32976
     0.30492   -0.32936
     0.28931   -0.32752
     0.27377   -0.32414
     0.25831   -0.31914
     0.24293   -0.31238
     0.22765   -0.30372
     0.21248   -0.29296
     0.19745   -0.27991
     0.18256   -0.26430
     0.16785   -0.24586
     0.15336   -0.22425
     0.13914   -0.19910
     0.12525   -0.16998
     0.11179   -0.13648
     0.09889   -0.09822
     0.08668   -0.05497
     0.07533   -0.00671
     0.06499    0.04629
     0.05575    0.10348
     0.04761    0.16423
     0.04054    0.22792
     0.03441    0.29414
     0.02911    0.36257
     0.02453    0.43307
     0.02055    0.50547
     0.01707    0.57950
     0.01404    0.65464
     0.01138    0.72991
     0.00906    0.80360
     0.00704    0.87287
     0.00530    0.93334
     0.00381    0.97851
     0.00258    0.99957
     0.00159    0.98572
     0.00084    0.92598
     0.00034    0.81264
     0.00006    0.64533
     0.00001    0.43215
     0.00016    0.17117
     0.00056   -0.12216
     0.00122   -0.41485
     0.00215   -0.67651
     0.00334   -0.88732
     0.00480   -1.04194
     0.00653   -1.14524
     0.00853   -1.20661
     0.01081   -1.23595
     0.01339   -1.24172
     0.01631   -1.23052
     0.01960   -1.20717
     0.02333   -1.17512
     0.02757   -1.13677
     0.03242   -1.09381
     0.03798   -1.04737
     0.04440   -0.99835
     0.05181   -0.94748
     0.06036   -0.89556
     0.07013   -0.84345
     0.08113   -0.79215
     0.09329   -0.74263
     0.10643   -0.69565
     0.12037   -0.65166
     0.13492   -0.61077
     0.14993   -0.57292
     0.16529   -0.53787
     0.18092   -0.50538
     0.19677   -0.47521
     0.21279   -0.44710
     0.22896   -0.42088
     0.24525   -0.39636
     0.26165   -0.37341
     0.27814   -0.35192
     0.29471   -0.33180
     0.31136   -0.31299
     0.32807   -0.29546
     0.34483   -0.27921
     0.36165   -0.26431
     0.37849   -0.25085
     0.39533   -0.24012
     0.41212   -0.23220
     0.42888   -0.22122
     0.44564   -0.20987
     0.46241   -0.19836
     0.47921   -0.18689
     0.49603   -0.17551
     0.51287   -0.16428
     0.52974   -0.15323
     0.54662   -0.14236
     0.56353   -0.13169
     0.58045   -0.12120
     0.59738   -0.11090
     0.61433   -0.10077
     0.63130   -0.09079
     0.64827   -0.08096
     0.66525   -0.07126
     0.68225   -0.06164
     0.69925   -0.05210
     0.71625   -0.04259
     0.73326   -0.03307
     0.75027   -0.02351
     0.76729   -0.01385
     0.78430   -0.00402
     0.80132    0.00604
     0.81833    0.01644
     0.83534    0.02728
     0.85233    0.03871
     0.86931    0.05093
     0.88624    0.06419
     0.90311    0.07882
     0.91982    0.09533
     0.93623    0.11438
     0.95207    0.13697
     0.96689    0.16451
     0.98019    0.20091
     0.99163    0.24625
     1.00000    0.41132
