#      x          Cp  
     1.00000    0.42255
     0.99180    0.22168
     0.98067    0.15567
     0.96782    0.09712
     0.95357    0.04901
     0.93838    0.00670
     0.92265   -0.03105
     0.90663   -0.06530
     0.89046   -0.09681
     0.87420   -0.12616
     0.85789   -0.15379
     0.84156   -0.18006
     0.82520   -0.20523
     0.80884   -0.22951
     0.79245   -0.25307
     0.77606   -0.27606
     0.75966   -0.29859
     0.74326   -0.32076
     0.72684   -0.34267
     0.71043   -0.36438
     0.69401   -0.38598
     0.67758   -0.40751
     0.66116   -0.42905
     0.64474   -0.45065
     0.62832   -0.47235
     0.61191   -0.49421
     0.59550   -0.51629
     0.57909   -0.53862
     0.56270   -0.56126
     0.54631   -0.58427
     0.52994   -0.60770
     0.51358   -0.63162
     0.49724   -0.65610
     0.48092   -0.68123
     0.46462   -0.70714
     0.44834   -0.73397
     0.43211   -0.76202
     0.41592   -0.79148
     0.39982   -0.82550
     0.38384   -0.86028
     0.36794   -0.89096
     0.35210   -0.92122
     0.33632   -0.95106
     0.32059   -0.98076
     0.30492   -1.01049
     0.28931   -1.04035
     0.27377   -1.07046
     0.25831   -1.10093
     0.24293   -1.13185
     0.22765   -1.16338
     0.21248   -1.19566
     0.19745   -1.22886
     0.18256   -1.26323
     0.16785   -1.29901
     0.15336   -1.33655
     0.13914   -1.37622
     0.12525   -1.41847
     0.11179   -1.46378
     0.09889   -1.51262
     0.08668   -1.56535
     0.07533   -1.62210
     0.06499   -1.68269
     0.05575   -1.74665
     0.04761   -1.81327
     0.04054   -1.88181
     0.03441   -1.95148
     0.02911   -2.02161
     0.02453   -2.09134
     0.02055   -2.15969
     0.01707   -2.22530
     0.01404   -2.28614
     0.01138   -2.33925
     0.00906   -2.38042
     0.00704   -2.40361
     0.00530   -2.40062
     0.00381   -2.36075
     0.00258   -2.27129
     0.00159   -2.11935
     0.00084   -1.89584
     0.00034   -1.60131
     0.00006   -1.25015
     0.00001   -0.87629
     0.00016   -0.49083
     0.00056   -0.10248
     0.00122    0.25121
     0.00215    0.54086
     0.00334    0.75292
     0.00480    0.89071
     0.00653    0.96713
     0.00853    0.99754
     0.01081    0.99566
     0.01339    0.97214
     0.01631    0.93464
     0.01960    0.88848
     0.02333    0.83720
     0.02757    0.78320
     0.03242    0.72807
     0.03798    0.67294
     0.04440    0.61865
     0.05181    0.56600
     0.06036    0.51577
     0.07013    0.46881
     0.08113    0.42592
     0.09329    0.38767
     0.10643    0.35432
     0.12037    0.32572
     0.13492    0.30147
     0.14993    0.28104
     0.16529    0.26387
     0.18092    0.24943
     0.19677    0.23727
     0.21279    0.22701
     0.22896    0.21831
     0.24525    0.21091
     0.26165    0.20457
     0.27814    0.19909
     0.29471    0.19430
     0.31136    0.19004
     0.32807    0.18617
     0.34483    0.18252
     0.36165    0.17893
     0.37849    0.17523
     0.39533    0.17045
     0.41212    0.16442
     0.42888    0.16104
     0.44564    0.15846
     0.46241    0.15648
     0.47921    0.15494
     0.49603    0.15376
     0.51287    0.15286
     0.52974    0.15221
     0.54662    0.15175
     0.56353    0.15147
     0.58045    0.15134
     0.59738    0.15133
     0.61433    0.15143
     0.63130    0.15164
     0.64827    0.15195
     0.66525    0.15234
     0.68225    0.15283
     0.69925    0.15342
     0.71625    0.15412
     0.73326    0.15494
     0.75027    0.15590
     0.76729    0.15703
     0.78430    0.15836
     0.80132    0.15994
     0.81833    0.16182
     0.83534    0.16409
     0.85233    0.16683
     0.86931    0.17021
     0.88624    0.17440
     0.90311    0.17968
     0.91982    0.18645
     0.93623    0.19532
     0.95207    0.20722
     0.96689    0.22358
     0.98019    0.24782
     0.99163    0.28165
     1.00000    0.42255
