#      x          Cp  
     1.00000    0.41401
     0.99180    0.21972
     0.98067    0.15814
     0.96782    0.10465
     0.95357    0.06153
     0.93838    0.02424
     0.92265   -0.00853
     0.90663   -0.03786
     0.89046   -0.06449
     0.87420   -0.08899
     0.85789   -0.11180
     0.84156   -0.13324
     0.82520   -0.15357
     0.80884   -0.17298
     0.79245   -0.19162
     0.77606   -0.20963
     0.75966   -0.22711
     0.74326   -0.24416
     0.72684   -0.26084
     0.71043   -0.27723
     0.69401   -0.29338
     0.67758   -0.30934
     0.66116   -0.32516
     0.64474   -0.34087
     0.62832   -0.35653
     0.61191   -0.37216
     0.59550   -0.38780
     0.57909   -0.40347
     0.56270   -0.41922
     0.54631   -0.43507
     0.52994   -0.45106
     0.51358   -0.46722
     0.49724   -0.48361
     0.48092   -0.50028
     0.46462   -0.51730
     0.44834   -0.53478
     0.43211   -0.55295
     0.41592   -0.57194
     0.39982   -0.59446
     0.38384   -0.61712
     0.36794   -0.63567
     0.35210   -0.65325
     0.33632   -0.66985
     0.32059   -0.68564
     0.30492   -0.70070
     0.28931   -0.71504
     0.27377   -0.72868
     0.25831   -0.74161
     0.24293   -0.75379
     0.22765   -0.76521
     0.21248   -0.77582
     0.19745   -0.78557
     0.18256   -0.79440
     0.16785   -0.80226
     0.15336   -0.80907
     0.13914   -0.81473
     0.12525   -0.81915
     0.11179   -0.82218
     0.09889   -0.82368
     0.08668   -0.82347
     0.07533   -0.82136
     0.06499   -0.81712
     0.05575   -0.81053
     0.04761   -0.80133
     0.04054   -0.78920
     0.03441   -0.77368
     0.02911   -0.75424
     0.02453   -0.73008
     0.02055   -0.70022
     0.01707   -0.66341
     0.01404   -0.61803
     0.01138   -0.56209
     0.00906   -0.49321
     0.00704   -0.40861
     0.00530   -0.30540
     0.00381   -0.18098
     0.00258   -0.03408
     0.00159    0.13377
     0.00084    0.31644
     0.00034    0.50217
     0.00006    0.67490
     0.00001    0.81756
     0.00016    0.92476
     0.00056    0.98732
     0.00122    0.99767
     0.00215    0.96006
     0.00334    0.88733
     0.00480    0.79478
     0.00653    0.69519
     0.00853    0.59707
     0.01081    0.50513
     0.01339    0.42143
     0.01631    0.34649
     0.01960    0.27999
     0.02333    0.22129
     0.02757    0.16964
     0.03242    0.12433
     0.03798    0.08479
     0.04440    0.05053
     0.05181    0.02125
     0.06036   -0.00325
     0.07013   -0.02312
     0.08113   -0.03854
     0.09329   -0.04984
     0.10643   -0.05749
     0.12037   -0.06207
     0.13492   -0.06417
     0.14993   -0.06431
     0.16529   -0.06296
     0.18092   -0.06047
     0.19677   -0.05714
     0.21279   -0.05319
     0.22896   -0.04882
     0.24525   -0.04415
     0.26165   -0.03933
     0.27814   -0.03445
     0.29471   -0.02960
     0.31136   -0.02489
     0.32807   -0.02039
     0.34483   -0.01621
     0.36165   -0.01250
     0.37849   -0.00941
     0.39533   -0.00805
     0.41212   -0.00855
     0.42888   -0.00618
     0.44564   -0.00315
     0.46241    0.00032
     0.47921    0.00407
     0.49603    0.00801
     0.51287    0.01208
     0.52974    0.01623
     0.54662    0.02044
     0.56353    0.02469
     0.58045    0.02895
     0.59738    0.03323
     0.61433    0.03751
     0.63130    0.04180
     0.64827    0.04609
     0.66525    0.05039
     0.68225    0.05472
     0.69925    0.05909
     0.71625    0.06352
     0.73326    0.06802
     0.75027    0.07264
     0.76729    0.07740
     0.78430    0.08236
     0.80132    0.08757
     0.81833    0.09311
     0.83534    0.09907
     0.85233    0.10557
     0.86931    0.11278
     0.88624    0.12091
     0.90311    0.13028
     0.91982    0.14132
     0.93623    0.15468
     0.95207    0.17132
     0.96689    0.19268
     0.98019    0.22241
     0.99163    0.26153
     1.00000    0.41401
