#      x          Cp  
     1.00000    0.41334
     0.99180    0.22001
     0.98067    0.15903
     0.96782    0.10620
     0.95357    0.06374
     0.93838    0.02709
     0.92265   -0.00504
     0.90663   -0.03374
     0.89046   -0.05975
     0.87420   -0.08364
     0.85789   -0.10584
     0.84156   -0.12668
     0.82520   -0.14640
     0.80884   -0.16520
     0.79245   -0.18323
     0.77606   -0.20062
     0.75966   -0.21748
     0.74326   -0.23389
     0.72684   -0.24992
     0.71043   -0.26565
     0.69401   -0.28113
     0.67758   -0.29641
     0.66116   -0.31153
     0.64474   -0.32653
     0.62832   -0.34145
     0.61191   -0.35632
     0.59550   -0.37118
     0.57909   -0.38605
     0.56270   -0.40096
     0.54631   -0.41595
     0.52994   -0.43104
     0.51358   -0.44627
     0.49724   -0.46169
     0.48092   -0.47734
     0.46462   -0.49331
     0.44834   -0.50968
     0.43211   -0.52667
     0.41592   -0.54442
     0.39982   -0.56557
     0.38384   -0.58680
     0.36794   -0.60392
     0.35210   -0.62003
     0.33632   -0.63508
     0.32059   -0.64925
     0.30492   -0.66261
     0.28931   -0.67517
     0.27377   -0.68692
     0.25831   -0.69785
     0.24293   -0.70791
     0.22765   -0.71705
     0.21248   -0.72523
     0.19745   -0.73236
     0.18256   -0.73837
     0.16785   -0.74315
     0.15336   -0.74661
     0.13914   -0.74859
     0.12525   -0.74894
     0.11179   -0.74749
     0.09889   -0.74402
     0.08668   -0.73833
     0.07533   -0.73021
     0.06499   -0.71945
     0.05575   -0.70590
     0.04761   -0.68935
     0.04054   -0.66957
     0.03441   -0.64616
     0.02911   -0.61864
     0.02453   -0.58626
     0.02055   -0.54810
     0.01707   -0.50299
     0.01404   -0.44945
     0.01138   -0.38570
     0.00906   -0.30967
     0.00704   -0.21909
     0.00530   -0.11173
     0.00381    0.01401
     0.00258    0.15820
     0.00159    0.31792
     0.00084    0.48586
     0.00034    0.64974
     0.00006    0.79420
     0.00001    0.90448
     0.00016    0.97573
     0.00056    0.99998
     0.00122    0.97357
     0.00215    0.90418
     0.00334    0.80665
     0.00480    0.69652
     0.00653    0.58570
     0.00853    0.48136
     0.01081    0.38692
     0.01339    0.30336
     0.01631    0.23039
     0.01960    0.16713
     0.02333    0.11253
     0.02757    0.06554
     0.03242    0.02528
     0.03798   -0.00897
     0.04440   -0.03779
     0.05181   -0.06158
     0.06036   -0.08063
     0.07013   -0.09518
     0.08113   -0.10552
     0.09329   -0.11208
     0.10643   -0.11538
     0.12037   -0.11601
     0.13492   -0.11456
     0.14993   -0.11152
     0.16529   -0.10731
     0.18092   -0.10226
     0.19677   -0.09661
     0.21279   -0.09056
     0.22896   -0.08426
     0.24525   -0.07784
     0.26165   -0.07141
     0.27814   -0.06504
     0.29471   -0.05883
     0.31136   -0.05284
     0.32807   -0.04716
     0.34483   -0.04189
     0.36165   -0.03716
     0.37849   -0.03312
     0.39533   -0.03090
     0.41212   -0.03063
     0.42888   -0.02747
     0.44564   -0.02367
     0.46241   -0.01945
     0.47921   -0.01498
     0.49603   -0.01035
     0.51287   -0.00561
     0.52974   -0.00081
     0.54662    0.00403
     0.56353    0.00888
     0.58045    0.01373
     0.59738    0.01858
     0.61433    0.02342
     0.63130    0.02824
     0.64827    0.03307
     0.66525    0.03789
     0.68225    0.04273
     0.69925    0.04759
     0.71625    0.05250
     0.73326    0.05749
     0.75027    0.06259
     0.76729    0.06782
     0.78430    0.07325
     0.80132    0.07894
     0.81833    0.08495
     0.83534    0.09138
     0.85233    0.09837
     0.86931    0.10607
     0.88624    0.11470
     0.90311    0.12459
     0.91982    0.13618
     0.93623    0.15010
     0.95207    0.16734
     0.96689    0.18932
     0.98019    0.21974
     0.99163    0.25950
     1.00000    0.41334
