#      x          Cp  
     1.00000    0.41132
     0.99180    0.22323
     0.98067    0.16536
     0.96782    0.11598
     0.95357    0.07684
     0.93838    0.04349
     0.92265    0.01458
     0.90663   -0.01094
     0.89046   -0.03383
     0.87420   -0.05465
     0.85789   -0.07381
     0.84156   -0.09162
     0.82520   -0.10831
     0.80884   -0.12408
     0.79245   -0.13906
     0.77606   -0.15339
     0.75966   -0.16715
     0.74326   -0.18042
     0.72684   -0.19328
     0.71043   -0.20578
     0.69401   -0.21796
     0.67758   -0.22988
     0.66116   -0.24156
     0.64474   -0.25305
     0.62832   -0.26436
     0.61191   -0.27553
     0.59550   -0.28657
     0.57909   -0.29751
     0.56270   -0.30837
     0.54631   -0.31916
     0.52994   -0.32991
     0.51358   -0.34063
     0.49724   -0.35135
     0.48092   -0.36212
     0.46462   -0.37297
     0.44834   -0.38398
     0.43211   -0.39534
     0.41592   -0.40712
     0.39982   -0.42173
     0.38384   -0.43610
     0.36794   -0.44642
     0.35210   -0.45548
     0.33632   -0.46322
     0.32059   -0.46976
     0.30492   -0.47513
     0.28931   -0.47930
     0.27377   -0.48223
     0.25831   -0.48383
     0.24293   -0.48402
     0.22765   -0.48267
     0.21248   -0.47966
     0.19745   -0.47482
     0.18256   -0.46795
     0.16785   -0.45883
     0.15336   -0.44720
     0.13914   -0.43275
     0.12525   -0.41515
     0.11179   -0.39401
     0.09889   -0.36899
     0.08668   -0.33979
     0.07533   -0.30623
     0.06499   -0.26833
     0.05575   -0.22627
     0.04761   -0.18026
     0.04054   -0.13050
     0.03441   -0.07701
     0.02911   -0.01966
     0.02453    0.04190
     0.02055    0.10810
     0.01707    0.17946
     0.01404    0.25654
     0.01138    0.33978
     0.00906    0.42933
     0.00704    0.52479
     0.00530    0.62479
     0.00381    0.72629
     0.00258    0.82393
     0.00159    0.90944
     0.00084    0.97188
     0.00034    0.99949
     0.00006    0.98328
     0.00001    0.92078
     0.00016    0.80917
     0.00056    0.65070
     0.00122    0.46182
     0.00215    0.26463
     0.00334    0.07963
     0.00480   -0.08051
     0.00653   -0.21129
     0.00853   -0.31374
     0.01081   -0.39146
     0.01339   -0.44878
     0.01631   -0.48969
     0.01960   -0.51756
     0.02333   -0.53505
     0.02757   -0.54420
     0.03242   -0.54658
     0.03798   -0.54329
     0.04440   -0.53524
     0.05181   -0.52311
     0.06036   -0.50755
     0.07013   -0.48921
     0.08113   -0.46883
     0.09329   -0.44716
     0.10643   -0.42496
     0.12037   -0.40279
     0.13492   -0.38107
     0.14993   -0.36004
     0.16529   -0.33983
     0.18092   -0.32048
     0.19677   -0.30199
     0.21279   -0.28437
     0.22896   -0.26758
     0.24525   -0.25161
     0.26165   -0.23644
     0.27814   -0.22205
     0.29471   -0.20845
     0.31136   -0.19564
     0.32807   -0.18364
     0.34483   -0.17251
     0.36165   -0.16234
     0.37849   -0.15326
     0.39533   -0.14649
     0.41212   -0.14213
     0.42888   -0.13476
     0.44564   -0.12691
     0.46241   -0.11876
     0.47921   -0.11051
     0.49603   -0.10223
     0.51287   -0.09399
     0.52974   -0.08580
     0.54662   -0.07770
     0.56353   -0.06969
     0.58045   -0.06177
     0.59738   -0.05396
     0.61433   -0.04625
     0.63130   -0.03862
     0.64827   -0.03107
     0.66525   -0.02358
     0.68225   -0.01613
     0.69925   -0.00871
     0.71625   -0.00128
     0.73326    0.00618
     0.75027    0.01372
     0.76729    0.02139
     0.78430    0.02923
     0.80132    0.03732
     0.81833    0.04574
     0.83534    0.05460
     0.85233    0.06404
     0.86931    0.07423
     0.88624    0.08542
     0.90311    0.09794
     0.91982    0.11225
     0.93623    0.12902
     0.95207    0.14924
     0.96689    0.17433
     0.98019    0.20810
     0.99163    0.25102
     1.00000    0.41132
