#      x          Cp  
     1.00000    0.41186
     0.99180    0.23097
     0.98067    0.17710
     0.96782    0.13205
     0.95357    0.09703
     0.93838    0.06773
     0.92265    0.04277
     0.90663    0.02108
     0.89046    0.00195
     0.87420   -0.01518
     0.85789   -0.03070
     0.84156   -0.04490
     0.82520   -0.05801
     0.80884   -0.07020
     0.79245   -0.08160
     0.77606   -0.09232
     0.75966   -0.10246
     0.74326   -0.11207
     0.72684   -0.12123
     0.71043   -0.12997
     0.69401   -0.13835
     0.67758   -0.14639
     0.66116   -0.15412
     0.64474   -0.16157
     0.62832   -0.16876
     0.61191   -0.17570
     0.59550   -0.18241
     0.57909   -0.18889
     0.56270   -0.19516
     0.54631   -0.20122
     0.52994   -0.20708
     0.51358   -0.21274
     0.49724   -0.21823
     0.48092   -0.22354
     0.46462   -0.22872
     0.44834   -0.23380
     0.43211   -0.23893
     0.41592   -0.24417
     0.39982   -0.25158
     0.38384   -0.25844
     0.36794   -0.26139
     0.35210   -0.26286
     0.33632   -0.26276
     0.32059   -0.26119
     0.30492   -0.25813
     0.28931   -0.25351
     0.27377   -0.24725
     0.25831   -0.23925
     0.24293   -0.22934
     0.22765   -0.21739
     0.21248   -0.20318
     0.19745   -0.18649
     0.18256   -0.16706
     0.16785   -0.14457
     0.15336   -0.11868
     0.13914   -0.08900
     0.12525   -0.05510
     0.11179   -0.01657
     0.09889    0.02695
     0.08668    0.07561
     0.07533    0.12932
     0.06499    0.18763
     0.05575    0.24980
     0.04761    0.31495
     0.04054    0.38224
     0.03441    0.45101
     0.02911    0.52070
     0.02453    0.59085
     0.02055    0.66093
     0.01707    0.73017
     0.01404    0.79741
     0.01138    0.86086
     0.00906    0.91774
     0.00704    0.96391
     0.00530    0.99346
     0.00381    0.99825
     0.00258    0.96802
     0.00159    0.89130
     0.00084    0.75808
     0.00034    0.56385
     0.00006    0.31371
     0.00001    0.02130
     0.00016   -0.31514
     0.00056   -0.67192
     0.00122   -1.00761
     0.00215   -1.28879
     0.00334   -1.49774
     0.00480   -1.63441
     0.00653   -1.70951
     0.00853   -1.73723
     0.01081   -1.73076
     0.01339   -1.70067
     0.01631   -1.65466
     0.01960   -1.59815
     0.02333   -1.53479
     0.02757   -1.46702
     0.03242   -1.39646
     0.03798   -1.32412
     0.04440   -1.25087
     0.05181   -1.17735
     0.06036   -1.10441
     0.07013   -1.03299
     0.08113   -0.96418
     0.09329   -0.89902
     0.10643   -0.83823
     0.12037   -0.78216
     0.13492   -0.73074
     0.14993   -0.68368
     0.16529   -0.64057
     0.18092   -0.60098
     0.19677   -0.56449
     0.21279   -0.53076
     0.22896   -0.49948
     0.24525   -0.47040
     0.26165   -0.44332
     0.27814   -0.41806
     0.29471   -0.39449
     0.31136   -0.37251
     0.32807   -0.35206
     0.34483   -0.33311
     0.36165   -0.31573
     0.37849   -0.29997
     0.39533   -0.28717
     0.41212   -0.27738
     0.42888   -0.26450
     0.44564   -0.25134
     0.46241   -0.23808
     0.47921   -0.22493
     0.49603   -0.21195
     0.51287   -0.19918
     0.52974   -0.18664
     0.54662   -0.17435
     0.56353   -0.16230
     0.58045   -0.15048
     0.59738   -0.13890
     0.61433   -0.12753
     0.63130   -0.11636
     0.64827   -0.10536
     0.66525   -0.09452
     0.68225   -0.08379
     0.69925   -0.07316
     0.71625   -0.06259
     0.73326   -0.05204
     0.75027   -0.04145
     0.76729   -0.03077
     0.78430   -0.01994
     0.80132   -0.00887
     0.81833    0.00252
     0.83534    0.01436
     0.85233    0.02680
     0.86931    0.04004
     0.88624    0.05434
     0.90311    0.07004
     0.91982    0.08764
     0.93623    0.10782
     0.95207    0.13159
     0.96689    0.16034
     0.98019    0.19803
     0.99163    0.24456
     1.00000    0.41186
