#      x          Cp  
     1.00000    0.41155
     0.99180    0.22939
     0.98067    0.17483
     0.96782    0.12905
     0.95357    0.09333
     0.93838    0.06335
     0.92265    0.03773
     0.90663    0.01541
     0.89046   -0.00436
     0.87420   -0.02210
     0.85789   -0.03822
     0.84156   -0.05302
     0.82520   -0.06672
     0.80884   -0.07950
     0.79245   -0.09149
     0.77606   -0.10281
     0.75966   -0.11354
     0.74326   -0.12375
     0.72684   -0.13352
     0.71043   -0.14287
     0.69401   -0.15187
     0.67758   -0.16054
     0.66116   -0.16892
     0.64474   -0.17703
     0.62832   -0.18489
     0.61191   -0.19251
     0.59550   -0.19992
     0.57909   -0.20713
     0.56270   -0.21414
     0.54631   -0.22096
     0.52994   -0.22761
     0.51358   -0.23409
     0.49724   -0.24041
     0.48092   -0.24660
     0.46462   -0.25269
     0.44834   -0.25872
     0.43211   -0.26484
     0.41592   -0.27112
     0.39982   -0.27968
     0.38384   -0.28774
     0.36794   -0.29185
     0.35210   -0.29451
     0.33632   -0.29565
     0.32059   -0.29535
     0.30492   -0.29360
     0.28931   -0.29035
     0.27377   -0.28551
     0.25831   -0.27898
     0.24293   -0.27062
     0.22765   -0.26028
     0.21248   -0.24776
     0.19745   -0.23285
     0.18256   -0.21529
     0.16785   -0.19477
     0.15336   -0.17096
     0.13914   -0.14347
     0.12525   -0.11188
     0.11179   -0.07577
     0.09889   -0.03477
     0.08668    0.01132
     0.07533    0.06247
     0.06499    0.11831
     0.05575    0.17821
     0.04761    0.24140
     0.04054    0.30718
     0.03441    0.37498
     0.02911    0.44440
     0.02453    0.51513
     0.02055    0.58682
     0.01707    0.65897
     0.01404    0.73074
     0.01138    0.80075
     0.00906    0.86677
     0.00704    0.92533
     0.00530    0.97126
     0.00381    0.99726
     0.00258    0.99375
     0.00159    0.94955
     0.00084    0.85410
     0.00034    0.70117
     0.00006    0.49304
     0.00001    0.24056
     0.00016   -0.05810
     0.00056   -0.38349
     0.00122   -0.69843
     0.00215   -0.97091
     0.00334   -1.18202
     0.00480   -1.32893
     0.00653   -1.41933
     0.00853   -1.46497
     0.01081   -1.47737
     0.01339   -1.46604
     0.01631   -1.43816
     0.01960   -1.39886
     0.02333   -1.35169
     0.02757   -1.29911
     0.03242   -1.24276
     0.03798   -1.18372
     0.04440   -1.12289
     0.05181   -1.06097
     0.06036   -0.99877
     0.07013   -0.93721
     0.08113   -0.87733
     0.09329   -0.82012
     0.10643   -0.76636
     0.12037   -0.71642
     0.13492   -0.67035
     0.14993   -0.62795
     0.16529   -0.58893
     0.18092   -0.55293
     0.19677   -0.51964
     0.21279   -0.48875
     0.22896   -0.46003
     0.24525   -0.43325
     0.26165   -0.40825
     0.27814   -0.38490
     0.29471   -0.36307
     0.31136   -0.34269
     0.32807   -0.32371
     0.34483   -0.30612
     0.36165   -0.28999
     0.37849   -0.27539
     0.39533   -0.26363
     0.41212   -0.25478
     0.42888   -0.24286
     0.44564   -0.23061
     0.46241   -0.21824
     0.47921   -0.20592
     0.49603   -0.19375
     0.51287   -0.18175
     0.52974   -0.16996
     0.54662   -0.15839
     0.56353   -0.14703
     0.58045   -0.13588
     0.59738   -0.12494
     0.61433   -0.11419
     0.63130   -0.10362
     0.64827   -0.09321
     0.66525   -0.08294
     0.68225   -0.07277
     0.69925   -0.06269
     0.71625   -0.05265
     0.73326   -0.04261
     0.75027   -0.03254
     0.76729   -0.02237
     0.78430   -0.01204
     0.80132   -0.00148
     0.81833    0.00942
     0.83534    0.02076
     0.85233    0.03269
     0.86931    0.04542
     0.88624    0.05920
     0.90311    0.07437
     0.91982    0.09142
     0.93623    0.11103
     0.95207    0.13422
     0.96689    0.16236
     0.98019    0.19941
     0.99163    0.24535
     1.00000    0.41155
