#      x          Cp  
     1.00000    0.41477
     0.99180    0.21955
     0.98067    0.15738
     0.96782    0.10323
     0.95357    0.05947
     0.93838    0.02153
     0.92265   -0.01188
     0.90663   -0.04183
     0.89046   -0.06907
     0.87420   -0.09419
     0.85789   -0.11761
     0.84156   -0.13966
     0.82520   -0.16059
     0.80884   -0.18060
     0.79245   -0.19986
     0.77606   -0.21849
     0.75966   -0.23660
     0.74326   -0.25428
     0.72684   -0.27161
     0.71043   -0.28866
     0.69401   -0.30548
     0.67758   -0.32213
     0.66116   -0.33865
     0.64474   -0.35509
     0.62832   -0.37149
     0.61191   -0.38788
     0.59550   -0.40431
     0.57909   -0.42079
     0.56270   -0.43738
     0.54631   -0.45410
     0.52994   -0.47099
     0.51358   -0.48810
     0.49724   -0.50547
     0.48092   -0.52316
     0.46462   -0.54125
     0.44834   -0.55986
     0.43211   -0.57922
     0.41592   -0.59947
     0.39982   -0.62336
     0.38384   -0.64748
     0.36794   -0.66747
     0.35210   -0.68657
     0.33632   -0.70473
     0.32059   -0.72217
     0.30492   -0.73895
     0.28931   -0.75512
     0.27377   -0.77069
     0.25831   -0.78565
     0.24293   -0.80002
     0.22765   -0.81376
     0.21248   -0.82686
     0.19745   -0.83930
     0.18256   -0.85105
     0.16785   -0.86208
     0.15336   -0.87235
     0.13914   -0.88182
     0.12525   -0.89045
     0.11179   -0.89815
     0.09889   -0.90483
     0.08668   -0.91036
     0.07533   -0.91456
     0.06499   -0.91720
     0.05575   -0.91800
     0.04761   -0.91662
     0.04054   -0.91269
     0.03441   -0.90568
     0.02911   -0.89502
     0.02453   -0.87986
     0.02055   -0.85919
     0.01707   -0.83169
     0.01404   -0.79561
     0.01138   -0.74879
     0.00906   -0.68853
     0.00704   -0.61160
     0.00530   -0.51440
     0.00381   -0.39336
     0.00258   -0.24595
     0.00159   -0.07221
     0.00084    0.12306
     0.00034    0.32881
     0.00006    0.52851
     0.00001    0.70279
     0.00016    0.84570
     0.00056    0.94714
     0.00122    0.99565
     0.00215    0.99188
     0.00334    0.94637
     0.00480    0.87390
     0.00653    0.78794
     0.00853    0.69824
     0.01081    0.61076
     0.01339    0.52863
     0.01631    0.45319
     0.01960    0.38474
     0.02333    0.32307
     0.02757    0.26772
     0.03242    0.21821
     0.03798    0.17410
     0.04440    0.13505
     0.05181    0.10085
     0.06036    0.07140
     0.07013    0.04664
     0.08113    0.02651
     0.09329    0.01077
     0.10643   -0.00099
     0.12037   -0.00931
     0.13492   -0.01478
     0.14993   -0.01797
     0.16529   -0.01935
     0.18092   -0.01933
     0.19677   -0.01824
     0.21279   -0.01633
     0.22896   -0.01380
     0.24525   -0.01084
     0.26165   -0.00758
     0.27814   -0.00414
     0.29471   -0.00063
     0.31136    0.00284
     0.32807    0.00619
     0.34483    0.00930
     0.36165    0.01201
     0.37849    0.01418
     0.39533    0.01470
     0.41212    0.01345
     0.42888    0.01504
     0.44564    0.01731
     0.46241    0.02005
     0.47921    0.02310
     0.49603    0.02636
     0.51287    0.02976
     0.52974    0.03328
     0.54662    0.03687
     0.56353    0.04051
     0.58045    0.04420
     0.59738    0.04791
     0.61433    0.05164
     0.63130    0.05540
     0.64827    0.05917
     0.66525    0.06296
     0.68225    0.06679
     0.69925    0.07067
     0.71625    0.07461
     0.73326    0.07863
     0.75027    0.08278
     0.76729    0.08707
     0.78430    0.09156
     0.80132    0.09631
     0.81833    0.10137
     0.83534    0.10686
     0.85233    0.11288
     0.86931    0.11959
     0.88624    0.12722
     0.90311    0.13607
     0.91982    0.14657
     0.93623    0.15937
     0.95207    0.17541
     0.96689    0.19615
     0.98019    0.22520
     0.99163    0.26367
     1.00000    0.41477
