#      x          Cp  
     1.00000    0.41119
     0.99180    0.22658
     0.98067    0.17067
     0.96782    0.12343
     0.95357    0.08633
     0.93838    0.05500
     0.92265    0.02806
     0.90663    0.00445
     0.89046   -0.01656
     0.87420   -0.03553
     0.85789   -0.05287
     0.84156   -0.06886
     0.82520   -0.08376
     0.80884   -0.09773
     0.79245   -0.11091
     0.77606   -0.12342
     0.75966   -0.13535
     0.74326   -0.14678
     0.72684   -0.15777
     0.71043   -0.16837
     0.69401   -0.17863
     0.67758   -0.18858
     0.66116   -0.19826
     0.64474   -0.20770
     0.62832   -0.21692
     0.61191   -0.22595
     0.59550   -0.23479
     0.57909   -0.24346
     0.56270   -0.25198
     0.54631   -0.26036
     0.52994   -0.26862
     0.51358   -0.27676
     0.49724   -0.28481
     0.48092   -0.29279
     0.46462   -0.30073
     0.44834   -0.30871
     0.43211   -0.31687
     0.41592   -0.32530
     0.39982   -0.33622
     0.38384   -0.34673
     0.36794   -0.35325
     0.35210   -0.35839
     0.33632   -0.36208
     0.32059   -0.36442
     0.30492   -0.36541
     0.28931   -0.36501
     0.27377   -0.36314
     0.25831   -0.35972
     0.24293   -0.35461
     0.22765   -0.34769
     0.21248   -0.33876
     0.19745   -0.32765
     0.18256   -0.31409
     0.16785   -0.29783
     0.15336   -0.27854
     0.13914   -0.25585
     0.12525   -0.22937
     0.11179   -0.19868
     0.09889   -0.16339
     0.08668   -0.12325
     0.07533   -0.07819
     0.06499   -0.02841
     0.05575    0.02565
     0.04761    0.08345
     0.04054    0.14450
     0.03441    0.20849
     0.02911    0.27522
     0.02453    0.34468
     0.02055    0.41689
     0.01707    0.49179
     0.01404    0.56915
     0.01138    0.64837
     0.00906    0.72824
     0.00704    0.80657
     0.00530    0.87971
     0.00381    0.94203
     0.00258    0.98550
     0.00159    0.99979
     0.00084    0.97371
     0.00034    0.89823
     0.00006    0.77053
     0.00001    0.59602
     0.00016    0.37259
     0.00056    0.11199
     0.00122   -0.15696
     0.00215   -0.40568
     0.00334   -0.61373
     0.00480   -0.77353
     0.00653   -0.88731
     0.00853   -0.96224
     0.01081   -1.00658
     0.01339   -1.02777
     0.01631   -1.03179
     0.01960   -1.02315
     0.02333   -1.00512
     0.02757   -0.98007
     0.03242   -0.94968
     0.03798   -0.91511
     0.04440   -0.87728
     0.05181   -0.83692
     0.06036   -0.79480
     0.07013   -0.75174
     0.08113   -0.70869
     0.09329   -0.66657
     0.10643   -0.62614
     0.12037   -0.58789
     0.13492   -0.55204
     0.14993   -0.51859
     0.16529   -0.48742
     0.18092   -0.45835
     0.19677   -0.43121
     0.21279   -0.40583
     0.22896   -0.38204
     0.24525   -0.35974
     0.26165   -0.33880
     0.27814   -0.31914
     0.29471   -0.30070
     0.31136   -0.28343
     0.32807   -0.26732
     0.34483   -0.25238
     0.36165   -0.23869
     0.37849   -0.22636
     0.39533   -0.21664
     0.41212   -0.20963
     0.42888   -0.19958
     0.44564   -0.18912
     0.46241   -0.17847
     0.47921   -0.16782
     0.49603   -0.15723
     0.51287   -0.14676
     0.52974   -0.13644
     0.54662   -0.12627
     0.56353   -0.11628
     0.58045   -0.10644
     0.59738   -0.09677
     0.61433   -0.08725
     0.63130   -0.07788
     0.64827   -0.06862
     0.66525   -0.05948
     0.68225   -0.05041
     0.69925   -0.04140
     0.71625   -0.03242
     0.73326   -0.02342
     0.75027   -0.01437
     0.76729   -0.00521
     0.78430    0.00412
     0.80132    0.01368
     0.81833    0.02358
     0.83534    0.03393
     0.85233    0.04486
     0.86931    0.05657
     0.88624    0.06931
     0.90311    0.08341
     0.91982    0.09937
     0.93623    0.11785
     0.95207    0.13985
     0.96689    0.16678
     0.98019    0.20253
     0.99163    0.24727
     1.00000    0.41119
