#      x          Cp  
     1.00000    0.41655
     0.99180    0.21956
     0.98067    0.15625
     0.96782    0.10080
     0.95357    0.05577
     0.93838    0.01656
     0.92265   -0.01811
     0.90663   -0.04931
     0.89046   -0.07778
     0.87420   -0.10412
     0.85789   -0.12875
     0.84156   -0.15201
     0.82520   -0.17415
     0.80884   -0.19539
     0.79245   -0.21588
     0.77606   -0.23575
     0.75966   -0.25512
     0.74326   -0.27408
     0.72684   -0.29270
     0.71043   -0.31107
     0.69401   -0.32925
     0.67758   -0.34728
     0.66116   -0.36522
     0.64474   -0.38312
     0.62832   -0.40101
     0.61191   -0.41895
     0.59550   -0.43696
     0.57909   -0.45509
     0.56270   -0.47338
     0.54631   -0.49187
     0.52994   -0.51059
     0.51358   -0.52960
     0.49724   -0.54896
     0.48092   -0.56873
     0.46462   -0.58900
     0.44834   -0.60990
     0.43211   -0.63168
     0.41592   -0.65449
     0.39982   -0.68120
     0.38384   -0.70827
     0.36794   -0.73122
     0.35210   -0.75340
     0.33632   -0.77478
     0.32059   -0.79559
     0.30492   -0.81592
     0.28931   -0.83584
     0.27377   -0.85538
     0.25831   -0.87456
     0.24293   -0.89342
     0.22765   -0.91198
     0.21248   -0.93026
     0.19745   -0.94829
     0.18256   -0.96611
     0.16785   -0.98376
     0.15336   -1.00129
     0.13914   -1.01877
     0.12525   -1.03626
     0.11179   -1.05384
     0.09889   -1.07152
     0.08668   -1.08929
     0.07533   -1.10703
     0.06499   -1.12448
     0.05575   -1.14129
     0.04761   -1.15699
     0.04054   -1.17109
     0.03441   -1.18295
     0.02911   -1.19193
     0.02453   -1.19715
     0.02055   -1.19752
     0.01707   -1.19164
     0.01404   -1.17759
     0.01138   -1.15289
     0.00906   -1.11429
     0.00704   -1.05769
     0.00530   -0.97811
     0.00381   -0.87002
     0.00258   -0.72818
     0.00159   -0.54943
     0.00084   -0.33536
     0.00034   -0.09504
     0.00006    0.15462
     0.00001    0.38986
     0.00016    0.60346
     0.00056    0.78429
     0.00122    0.91326
     0.00215    0.98328
     0.00334    0.99945
     0.00480    0.97465
     0.00653    0.92316
     0.00853    0.85687
     0.01081    0.78415
     0.01339    0.71027
     0.01631    0.63827
     0.01960    0.56977
     0.02333    0.50549
     0.02757    0.44567
     0.03242    0.39030
     0.03798    0.33932
     0.04440    0.29264
     0.05181    0.25031
     0.06036    0.21242
     0.07013    0.17917
     0.08113    0.15070
     0.09329    0.12699
     0.10643    0.10778
     0.12037    0.09261
     0.13492    0.08090
     0.14993    0.07207
     0.16529    0.06557
     0.18092    0.06094
     0.19677    0.05782
     0.21279    0.05588
     0.22896    0.05488
     0.24525    0.05461
     0.26165    0.05488
     0.27814    0.05556
     0.29471    0.05651
     0.31136    0.05761
     0.32807    0.05874
     0.34483    0.05978
     0.36165    0.06057
     0.37849    0.06095
     0.39533    0.05986
     0.41212    0.05715
     0.42888    0.05724
     0.44564    0.05804
     0.46241    0.05937
     0.47921    0.06103
     0.49603    0.06296
     0.51287    0.06508
     0.52974    0.06735
     0.54662    0.06974
     0.56353    0.07221
     0.58045    0.07476
     0.59738    0.07737
     0.61433    0.08003
     0.63130    0.08273
     0.64827    0.08547
     0.66525    0.08827
     0.68225    0.09111
     0.69925    0.09402
     0.71625    0.09701
     0.73326    0.10009
     0.75027    0.10330
     0.76729    0.10667
     0.78430    0.11023
     0.80132    0.11405
     0.81833    0.11819
     0.83534    0.12274
     0.85233    0.12781
     0.86931    0.13355
     0.88624    0.14018
     0.90311    0.14800
     0.91982    0.15743
     0.93623    0.16909
     0.95207    0.18394
     0.96689    0.20343
     0.98019    0.23111
     0.99163    0.26827
     1.00000    0.41655
